Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close)
Addison Road,678.00,358.00,199.00,107.00,9.00
Anacostia,"1,129.00","1,063.00",988.00,314.00,15.00
Archives,153.00,994.00,"2,721.00",697.00,14.00
Arlington Cemetery,42.00,568.00,394.00,33.00,4.00
Ashburn,619.00,361.00,210.00,68.00,2.00
Ballston-MU,"1,600.00","1,348.00","1,625.00",616.00,22.00
Benning Road,753.00,504.00,335.00,130.00,7.00
Bethesda,"1,172.00","1,214.00","1,498.00",555.00,15.00
Braddock Road,858.00,525.00,488.00,190.00,11.00
Branch Ave,"1,270.00",518.00,321.00,126.00,7.00
Brookland-CUA,"1,061.00","1,116.00","1,258.00",381.00,11.00
Capitol Heights,586.00,321.00,214.00,86.00,7.00
Capitol South,465.00,"1,022.00","2,245.00",446.00,7.00
Cheverly,241.00,135.00,88.00,38.00,6.00
Clarendon,773.00,737.00,798.00,492.00,42.00
Cleveland Park,659.00,713.00,614.00,286.00,11.00
College Park-U of Md,625.00,634.00,621.00,229.00,7.00
Columbia Heights,"1,713.00","2,240.00","2,715.00","1,060.00",28.00
Congress Heights,567.00,426.00,362.00,145.00,7.00
Court House,"1,205.00","1,006.00",948.00,402.00,16.00
Crystal City,"1,244.00","1,375.00","1,612.00",486.00,17.00
Deanwood,357.00,290.00,233.00,86.00,8.00
Downtown Largo,"1,051.00",427.00,307.00,145.00,9.00
Dulles Airport,338.00,521.00,925.00,541.00,4.00
Dunn Loring,670.00,401.00,384.00,126.00,4.00
Dupont Circle,"1,473.00","2,607.00","3,796.00","2,017.00",82.00
East Falls Church,"1,045.00",687.00,508.00,155.00,6.00
Eastern Market,828.00,"1,191.00","1,103.00",595.00,19.00
Eisenhower Ave,428.00,316.00,349.00,124.00,4.00
Farragut North,452.00,"1,755.00","5,036.00","1,514.00",55.00
Farragut West,577.00,"1,652.00","4,577.00","1,200.00",34.00
Federal Center SW,164.00,528.00,"1,290.00",167.00,7.00
Federal Triangle,80.00,803.00,"2,247.00",355.00,11.00
Foggy Bottom-GWU,"1,241.00","2,906.00","5,628.00","2,427.00",42.00
Forest Glen,427.00,222.00,154.00,51.00,9.00
Fort Totten,"2,646.00","1,829.00","1,558.00",532.00,24.00
Franconia-Springfield,"1,372.00",873.00,559.00,170.00,7.00
Friendship Heights,983.00,"1,104.00","1,102.00",397.00,17.00
Gallery Place,737.00,"2,411.00","5,149.00","4,102.00",121.00
Georgia Ave-Petworth,"1,221.00","1,194.00","1,205.00",434.00,16.00
Glenmont,"1,071.00",538.00,318.00,110.00,9.00
Greenbelt,"1,291.00",868.00,588.00,198.00,7.00
Greensboro,176.00,203.00,374.00,137.00,4.00
Grosvenor-Strathmore,"1,011.00",636.00,456.00,152.00,11.00
Herndon,418.00,233.00,157.00,48.00,2.00
Huntington,"1,635.00",825.00,506.00,168.00,10.00
Hyattsville Crossing,"1,048.00",808.00,688.00,312.00,11.00
Innovation Center,288.00,254.00,229.00,56.00,2.00
Judiciary Square,231.00,785.00,"1,813.00",420.00,17.00
King St-Old Town,"1,041.00","1,136.00","1,073.00",505.00,23.00
L'Enfant Plaza,982.00,"2,109.00","4,802.00","1,213.00",79.00
Landover,482.00,189.00,113.00,56.00,5.00
Loudoun Gateway,121.00,66.00,63.00,18.00,1.00
McLean,276.00,323.00,823.00,189.00,6.00
McPherson Sq,855.00,"1,444.00","2,982.00",925.00,51.00
Medical Center,345.00,524.00,"1,375.00",222.00,10.00
Metro Center,752.00,"2,471.00","6,248.00","2,461.00",69.00
Minnesota Ave,499.00,436.00,400.00,148.00,10.00
Morgan Boulevard,410.00,193.00,224.00,146.00,14.00
Mt Vernon Sq,609.00,953.00,"1,343.00",742.00,33.00
Navy Yard-Ballpark,"1,305.00","1,567.00","2,971.00","2,535.00",61.00
Naylor Road,597.00,314.00,190.00,115.00,6.00
New Carrollton,"1,415.00",784.00,512.00,184.00,8.00
NoMa-Gallaudet U,"2,333.00","2,504.00","3,161.00","1,192.00",38.00
North Bethesda,607.00,513.00,523.00,208.00,8.00
Pentagon,"1,670.00","1,371.00","2,792.00",224.00,9.00
Pentagon City,"1,765.00","2,155.00","2,426.00","1,007.00",13.00
Potomac Ave,907.00,654.00,486.00,215.00,8.00
Potomac Yard,473.00,396.00,401.00,131.00,6.00
Reston Town Center,248.00,213.00,277.00,88.00,3.00
Rhode Island Ave,"1,317.00","1,235.00","1,034.00",522.00,15.00
Rockville,826.00,615.00,511.00,197.00,6.00
Ronald Reagan Washington National Airport,610.00,"1,874.00","1,699.00","1,516.00",23.00
Rosslyn,"1,381.00","1,822.00","2,542.00",816.00,26.00
Shady Grove,"2,625.00","1,348.00",873.00,248.00,6.00
Shaw-Howard U,639.00,854.00,"1,166.00",545.00,34.00
Silver Spring,"1,388.00","1,107.00","1,047.00",434.00,17.00
Smithsonian,163.00,"1,464.00","3,138.00",685.00,20.00
Southern Ave,"1,143.00",584.00,372.00,182.00,8.00
Spring Hill,147.00,177.00,225.00,91.00,5.00
Stadium-Armory,525.00,543.00,519.00,230.00,14.00
Suitland,"1,102.00",551.00,361.00,163.00,7.00
Takoma,"1,158.00",870.00,813.00,237.00,12.00
Tenleytown-AU,647.00,961.00,"1,431.00",579.00,15.00
Twinbrook,847.00,614.00,498.00,176.00,7.00
Tysons,245.00,457.00,923.00,495.00,8.00
U Street,885.00,"1,157.00","1,438.00","1,201.00",102.00
Union Station,"3,106.00","3,140.00","4,580.00","1,869.00",40.00
Van Dorn Street,623.00,356.00,234.00,106.00,7.00
Van Ness-UDC,861.00,974.00,902.00,305.00,14.00
Vienna,"1,583.00","1,037.00",682.00,217.00,6.00
Virginia Sq-GMU,686.00,556.00,550.00,210.00,9.00
Waterfront,657.00,855.00,"1,137.00",795.00,29.00
West Falls Church,509.00,294.00,182.00,63.00,4.00
West Hyattsville,"1,091.00",624.00,445.00,129.00,6.00
Wheaton,530.00,395.00,338.00,146.00,11.00
