Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close)
Addison Road,884.00,384.00,213.00,109.00,9.00
Anacostia,"1,451.00","1,161.00","1,195.00",333.00,14.00
Archives,188.00,"1,044.00","3,131.00",761.00,12.00
Arlington Cemetery,44.00,496.00,364.00,37.00,4.00
Ashburn,818.00,305.00,207.00,64.00,2.00
Ballston-MU,"2,097.00","1,263.00","1,887.00",646.00,20.00
Benning Road,976.00,542.00,384.00,135.00,7.00
Bethesda,"1,551.00","1,194.00","1,767.00",600.00,14.00
Braddock Road,"1,142.00",491.00,534.00,190.00,12.00
Branch Ave,"1,698.00",503.00,341.00,129.00,7.00
Brookland-CUA,"1,398.00","1,140.00","1,496.00",419.00,11.00
Capitol Heights,770.00,345.00,246.00,91.00,8.00
Capitol South,619.00,"1,141.00","2,866.00",534.00,7.00
Cheverly,319.00,144.00,98.00,37.00,6.00
Clarendon,"1,027.00",637.00,817.00,497.00,34.00
Cleveland Park,870.00,660.00,619.00,290.00,10.00
College Park-U of Md,802.00,547.00,682.00,227.00,7.00
Columbia Heights,"2,185.00","2,140.00","3,050.00","1,097.00",23.00
Congress Heights,738.00,459.00,409.00,158.00,7.00
Court House,"1,578.00",897.00,"1,038.00",408.00,14.00
Crystal City,"1,582.00","1,333.00","1,934.00",520.00,16.00
Deanwood,461.00,313.00,274.00,93.00,9.00
Downtown Largo,"1,411.00",453.00,338.00,143.00,8.00
Dulles Airport,360.00,507.00,932.00,515.00,4.00
Dunn Loring,884.00,375.00,429.00,125.00,4.00
Dupont Circle,"1,910.00","2,296.00","4,204.00","2,113.00",64.00
East Falls Church,"1,369.00",611.00,535.00,154.00,6.00
Eastern Market,"1,086.00",991.00,"1,105.00",617.00,17.00
Eisenhower Ave,558.00,298.00,394.00,127.00,4.00
Farragut North,575.00,"2,007.00","6,521.00","1,783.00",46.00
Farragut West,741.00,"1,868.00","5,984.00","1,424.00",28.00
Federal Center SW,204.00,564.00,"1,560.00",180.00,7.00
Federal Triangle,101.00,873.00,"2,719.00",401.00,10.00
Foggy Bottom-GWU,"1,539.00","2,913.00","6,727.00","2,687.00",34.00
Forest Glen,565.00,218.00,161.00,50.00,9.00
Fort Totten,"3,365.00","1,862.00","1,776.00",557.00,23.00
Franconia-Springfield,"1,788.00",786.00,601.00,171.00,7.00
Friendship Heights,"1,293.00","1,122.00","1,251.00",409.00,17.00
Gallery Place,915.00,"2,329.00","5,535.00","4,199.00",100.00
Georgia Ave-Petworth,"1,573.00","1,192.00","1,370.00",440.00,14.00
Glenmont,"1,409.00",533.00,333.00,110.00,10.00
Greenbelt,"1,672.00",770.00,604.00,203.00,7.00
Greensboro,231.00,204.00,453.00,142.00,4.00
Grosvenor-Strathmore,"1,349.00",591.00,451.00,123.00,9.00
Herndon,552.00,206.00,167.00,47.00,2.00
Huntington,"2,146.00",781.00,525.00,165.00,10.00
Hyattsville Crossing,"1,319.00",804.00,714.00,317.00,11.00
Innovation Center,371.00,235.00,248.00,55.00,1.00
Judiciary Square,299.00,880.00,"2,267.00",482.00,16.00
King St-Old Town,"1,315.00","1,084.00","1,131.00",492.00,24.00
L'Enfant Plaza,"1,265.00","2,283.00","5,656.00","1,218.00",74.00
Landover,640.00,208.00,129.00,60.00,5.00
Loudoun Gateway,160.00,64.00,71.00,18.00,1.00
McLean,359.00,347.00,"1,069.00",202.00,6.00
McPherson Sq,"1,092.00","1,515.00","3,703.00","1,022.00",43.00
Medical Center,448.00,590.00,"1,820.00",253.00,9.00
Metro Center,943.00,"2,586.00","7,494.00","2,683.00",61.00
Minnesota Ave,647.00,479.00,477.00,154.00,10.00
Morgan Boulevard,547.00,205.00,167.00,76.00,9.00
Mt Vernon Sq,774.00,852.00,"1,433.00",737.00,27.00
Navy Yard-Ballpark,"1,703.00","1,462.00","2,918.00","2,430.00",48.00
Naylor Road,781.00,335.00,207.00,120.00,6.00
New Carrollton,"1,861.00",795.00,581.00,196.00,8.00
NoMa-Gallaudet U,"3,057.00","2,290.00","3,587.00","1,220.00",32.00
North Bethesda,800.00,531.00,602.00,221.00,8.00
Pentagon,"2,270.00","1,708.00","3,799.00",272.00,9.00
Pentagon City,"2,295.00","2,049.00","2,514.00","1,054.00",12.00
Potomac Ave,"1,202.00",671.00,538.00,219.00,7.00
Potomac Yard,621.00,364.00,429.00,131.00,6.00
Reston Town Center,323.00,206.00,331.00,91.00,3.00
Rhode Island Ave,"1,696.00","1,253.00","1,120.00",537.00,14.00
Rockville,"1,080.00",623.00,568.00,204.00,5.00
Ronald Reagan Washington National Airport,679.00,"1,915.00","1,756.00","1,489.00",22.00
Rosslyn,"1,773.00","1,771.00","3,033.00",886.00,24.00
Shady Grove,"3,465.00","1,267.00",942.00,250.00,6.00
Shaw-Howard U,827.00,834.00,"1,349.00",549.00,28.00
Silver Spring,"1,814.00","1,118.00","1,180.00",451.00,17.00
Smithsonian,199.00,"1,310.00","3,047.00",669.00,19.00
Southern Ave,"1,492.00",626.00,414.00,186.00,8.00
Spring Hill,186.00,177.00,264.00,94.00,6.00
Stadium-Armory,670.00,539.00,595.00,204.00,13.00
Suitland,"1,446.00",586.00,407.00,166.00,7.00
Takoma,"1,520.00",858.00,927.00,239.00,11.00
Tenleytown-AU,850.00,959.00,"1,719.00",653.00,14.00
Twinbrook,"1,098.00",610.00,556.00,182.00,7.00
Tysons,309.00,424.00,961.00,477.00,8.00
U Street,"1,165.00","1,019.00","1,474.00","1,164.00",77.00
Union Station,"4,171.00","3,216.00","5,357.00","1,909.00",35.00
Van Dorn Street,821.00,345.00,250.00,111.00,8.00
Van Ness-UDC,"1,127.00",960.00,998.00,324.00,13.00
Vienna,"2,093.00",899.00,695.00,215.00,6.00
Virginia Sq-GMU,910.00,511.00,609.00,221.00,9.00
Waterfront,852.00,822.00,"1,164.00",707.00,22.00
West Falls Church,681.00,299.00,196.00,65.00,4.00
West Hyattsville,"1,362.00",621.00,489.00,131.00,7.00
Wheaton,685.00,398.00,349.00,148.00,13.00
Wiehle-Reston East,813.00,356.00,397.00,95.00,7.00
Woodley Park,"1,163.00","1,034.00","1,168.00",400.00,23.00
