Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close)
Addison Road,159.00,292.00,163.00,101.00,9.00
Anacostia,320.00,817.00,465.00,266.00,16.00
Archives,66.00,866.00,"1,686.00",535.00,18.00
Arlington Cemetery,36.00,747.00,471.00,25.00,3.00
Ashburn,116.00,503.00,218.00,78.00,1.00
Ballston-MU,347.00,"1,562.00",965.00,539.00,28.00
Benning Road,192.00,410.00,213.00,118.00,7.00
Bethesda,219.00,"1,266.00",823.00,444.00,19.00
Braddock Road,142.00,608.00,375.00,189.00,9.00
Branch Ave,191.00,556.00,271.00,118.00,7.00
Brookland-CUA,213.00,"1,055.00",659.00,286.00,12.00
Capitol Heights,122.00,260.00,132.00,75.00,6.00
Capitol South,78.00,723.00,683.00,224.00,8.00
Cheverly,44.00,112.00,65.00,41.00,7.00
Clarendon,133.00,987.00,750.00,480.00,63.00
Cleveland Park,126.00,846.00,601.00,277.00,13.00
College Park-U of Md,180.00,853.00,468.00,234.00,8.00
Columbia Heights,522.00,"2,490.00","1,872.00",966.00,42.00
Congress Heights,136.00,343.00,246.00,114.00,7.00
Court House,266.00,"1,279.00",720.00,388.00,21.00
Crystal City,392.00,"1,480.00",802.00,400.00,18.00
Deanwood,96.00,231.00,130.00,69.00,6.00
Downtown Largo,142.00,362.00,228.00,151.00,10.00
Dulles Airport,283.00,556.00,907.00,607.00,5.00
Dunn Loring,133.00,467.00,270.00,128.00,3.00
Dupont Circle,372.00,"3,390.00","2,769.00","1,776.00",129.00
East Falls Church,228.00,876.00,440.00,160.00,7.00
Eastern Market,179.00,"1,694.00","1,098.00",541.00,25.00
Eisenhower Ave,101.00,363.00,236.00,118.00,5.00
Farragut North,143.00,"1,120.00","1,294.00",837.00,75.00
Farragut West,161.00,"1,107.00","1,034.00",634.00,48.00
Federal Center SW,62.00,438.00,611.00,135.00,7.00
Federal Triangle,27.00,627.00,"1,058.00",238.00,13.00
Foggy Bottom-GWU,491.00,"2,890.00","2,859.00","1,771.00",62.00
Forest Glen,78.00,232.00,135.00,52.00,10.00
Fort Totten,836.00,"1,745.00","1,008.00",470.00,26.00
Franconia-Springfield,325.00,"1,092.00",453.00,169.00,7.00
Friendship Heights,203.00,"1,061.00",726.00,368.00,19.00
Gallery Place,286.00,"2,616.00","4,179.00","3,859.00",175.00
Georgia Ave-Petworth,333.00,"1,199.00",788.00,418.00,21.00
Glenmont,219.00,550.00,281.00,111.00,8.00
Greenbelt,329.00,"1,113.00",547.00,186.00,9.00
Greensboro,38.00,199.00,175.00,125.00,6.00
Grosvenor-Strathmore,158.00,750.00,469.00,225.00,19.00
Herndon,79.00,300.00,130.00,50.00,2.00
Huntington,347.00,937.00,458.00,176.00,11.00
Hyattsville Crossing,366.00,818.00,622.00,300.00,12.00
Innovation Center,79.00,303.00,180.00,56.00,3.00
Judiciary Square,59.00,547.00,670.00,265.00,18.00
King St-Old Town,350.00,"1,267.00",926.00,540.00,21.00
L'Enfant Plaza,270.00,"1,670.00","2,652.00","1,201.00",92.00
Landover,84.00,142.00,73.00,45.00,5.00
Loudoun Gateway,22.00,72.00,41.00,17.00,1.00
McLean,66.00,262.00,204.00,157.00,8.00
McPherson Sq,258.00,"1,264.00","1,165.00",678.00,70.00
Medical Center,84.00,356.00,253.00,144.00,10.00
Metro Center,271.00,"2,183.00","3,110.00","1,902.00",88.00
Minnesota Ave,125.00,328.00,207.00,133.00,9.00
Morgan Boulevard,64.00,162.00,367.00,323.00,28.00
Mt Vernon Sq,194.00,"1,207.00","1,117.00",754.00,48.00
Navy Yard-Ballpark,304.00,"1,833.00","3,106.00","2,799.00",93.00
Naylor Road,133.00,260.00,149.00,101.00,7.00
New Carrollton,292.00,757.00,338.00,154.00,8.00
NoMa-Gallaudet U,508.00,"3,045.00","2,087.00","1,120.00",54.00
North Bethesda,119.00,468.00,322.00,174.00,8.00
Pentagon,160.00,524.00,255.00,104.00,8.00
Pentagon City,429.00,"2,422.00","2,207.00",888.00,14.00
Potomac Ave,164.00,611.00,353.00,205.00,9.00
Potomac Yard,101.00,475.00,330.00,130.00,6.00
Reston Town Center,60.00,232.00,140.00,80.00,2.00
Rhode Island Ave,360.00,"1,192.00",819.00,482.00,20.00
Rockville,187.00,597.00,369.00,178.00,7.00
Ronald Reagan Washington National Airport,434.00,"1,769.00","1,557.00","1,583.00",28.00
Rosslyn,394.00,"1,949.00","1,304.00",641.00,32.00
Shady Grove,511.00,"1,554.00",699.00,244.00,6.00
Shaw-Howard U,166.00,905.00,706.00,535.00,49.00
Silver Spring,314.00,"1,081.00",710.00,390.00,19.00
Smithsonian,72.00,"1,854.00","3,368.00",723.00,22.00
Southern Ave,264.00,476.00,267.00,172.00,9.00
Spring Hill,50.00,175.00,127.00,82.00,5.00
Stadium-Armory,157.00,550.00,328.00,296.00,16.00
Suitland,235.00,464.00,245.00,157.00,8.00
Takoma,247.00,899.00,527.00,234.00,17.00
Tenleytown-AU,136.00,964.00,704.00,392.00,18.00
Twinbrook,215.00,625.00,351.00,164.00,7.00
Tysons,83.00,540.00,827.00,539.00,11.00
U Street,178.00,"1,503.00","1,347.00","1,297.00",165.00
Union Station,422.00,"2,950.00","2,624.00","1,768.00",54.00
Van Dorn Street,126.00,381.00,191.00,92.00,7.00
Van Ness-UDC,190.00,"1,008.00",662.00,258.00,14.00
Vienna,299.00,"1,385.00",648.00,223.00,7.00
Virginia Sq-GMU,123.00,667.00,400.00,180.00,9.00
Waterfront,167.00,938.00,"1,070.00","1,016.00",47.00
West Falls Church,77.00,282.00,146.00,56.00,4.00
West Hyattsville,407.00,634.00,333.00,126.00,5.00
Wheaton,142.00,389.00,310.00,141.00,8.00
Wiehle-Reston East,130.00,520.00,256.00,94.00,7.00
Woodley Park,175.00,"1,493.00","1,396.00",478.00,37.00
