Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close)
Addison Road,662.00,376.00,198.00,116.00,9.00
Anacostia,"1,015.00","1,103.00",914.00,350.00,14.00
Archives,160.00,"1,081.00","2,776.00",830.00,12.00
Arlington Cemetery,45.00,759.00,492.00,163.00,5.00
Ashburn,671.00,439.00,293.00,95.00,2.00
Ballston-MU,"1,646.00","1,366.00","1,672.00",685.00,21.00
Benning Road,687.00,490.00,287.00,134.00,8.00
Bethesda,"1,205.00","1,244.00","1,564.00",623.00,14.00
Braddock Road,859.00,506.00,511.00,237.00,10.00
Branch Ave,"1,300.00",546.00,364.00,146.00,7.00
Brookland-CUA,983.00,"1,092.00","1,066.00",350.00,11.00
Capitol Heights,538.00,315.00,182.00,93.00,6.00
Capitol South,451.00,"1,347.00","2,897.00",625.00,8.00
Cheverly,244.00,150.00,97.00,47.00,8.00
Clarendon,767.00,729.00,814.00,519.00,40.00
Cleveland Park,640.00,701.00,590.00,288.00,18.00
College Park-U of Md,741.00,605.00,539.00,199.00,5.00
Columbia Heights,"1,631.00","2,223.00","2,462.00","1,088.00",24.00
Congress Heights,499.00,424.00,280.00,120.00,6.00
Court House,"1,222.00","1,025.00",995.00,453.00,15.00
Crystal City,"1,264.00","1,410.00","1,686.00",584.00,20.00
Deanwood,335.00,298.00,194.00,81.00,8.00
Downtown Largo,"1,061.00",454.00,332.00,194.00,9.00
Dulles Airport,452.00,601.00,"1,014.00",625.00,4.00
Dunn Loring,660.00,395.00,414.00,152.00,4.00
Dupont Circle,"1,524.00","2,588.00","3,585.00","2,008.00",73.00
East Falls Church,"1,059.00",717.00,553.00,203.00,5.00
Eastern Market,804.00,"1,264.00","1,109.00",637.00,13.00
Eisenhower Ave,420.00,322.00,344.00,150.00,5.00
Farragut North,517.00,"1,771.00","4,833.00","1,570.00",45.00
Farragut West,698.00,"1,782.00","4,720.00","1,266.00",34.00
Federal Center SW,159.00,599.00,"1,457.00",233.00,5.00
Federal Triangle,74.00,951.00,"2,349.00",470.00,7.00
Foggy Bottom-GWU,"1,764.00","2,951.00","5,267.00","2,309.00",35.00
Forest Glen,94.00,65.00,59.00,39.00,20.00
Fort Totten,"3,262.00","2,224.00","1,659.00",741.00,25.00
Franconia-Springfield,"1,407.00",973.00,697.00,250.00,17.00
Friendship Heights,"1,023.00","1,115.00","1,060.00",428.00,18.00
Gallery Place,756.00,"2,476.00","4,910.00","3,482.00",94.00
Georgia Ave-Petworth,"1,172.00","1,176.00","1,010.00",466.00,13.00
Glenmont,3.00,2.00,1.00,2.00,3.00
Greenbelt,"1,366.00",923.00,676.00,240.00,9.00
Greensboro,183.00,216.00,396.00,159.00,4.00
Grosvenor-Strathmore,"1,070.00",637.00,432.00,148.00,6.00
Herndon,437.00,260.00,184.00,62.00,2.00
Huntington,"1,696.00",889.00,573.00,235.00,11.00
Hyattsville Crossing,"1,036.00",752.00,637.00,332.00,12.00
Innovation Center,317.00,283.00,288.00,72.00,3.00
Judiciary Square,251.00,783.00,"1,785.00",419.00,17.00
King St-Old Town,"1,049.00","1,164.00","1,057.00",581.00,16.00
L'Enfant Plaza,963.00,"2,381.00","5,288.00","1,686.00",71.00
Landover,490.00,205.00,126.00,72.00,8.00
Loudoun Gateway,130.00,72.00,77.00,24.00,2.00
McLean,288.00,347.00,924.00,242.00,7.00
McPherson Sq,898.00,"1,719.00","3,204.00","1,087.00",46.00
Medical Center,358.00,533.00,"1,487.00",241.00,7.00
Metro Center,920.00,"2,719.00","6,330.00","2,662.00",63.00
Minnesota Ave,449.00,434.00,333.00,145.00,10.00
Morgan Boulevard,412.00,200.00,150.00,233.00,12.00
