Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close)
Addison Road,670.00,322.00,171.00,84.00,6.00
Anacostia,"1,169.00","1,005.00",983.00,276.00,11.00
Archives,157.00,804.00,"2,458.00",573.00,14.00
Arlington Cemetery,28.00,221.00,208.00,2.00,3.00
Ashburn,572.00,247.00,151.00,49.00,1.00
Ballston-MU,"1,588.00","1,223.00","1,565.00",593.00,18.00
Benning Road,821.00,566.00,405.00,167.00,8.00
Bethesda,"1,150.00",971.00,"1,338.00",494.00,15.00
Braddock Road,864.00,444.00,444.00,156.00,10.00
Branch Ave,"1,248.00",447.00,286.00,114.00,10.00
Brookland-CUA,"1,125.00","1,064.00","1,322.00",392.00,8.00
Capitol Heights,606.00,329.00,235.00,90.00,8.00
Capitol South,514.00,822.00,"2,074.00",388.00,6.00
Cheverly,230.00,122.00,80.00,34.00,4.00
Clarendon,803.00,680.00,742.00,460.00,34.00
Cleveland Park,678.00,599.00,525.00,236.00,8.00
College Park-U of Md,577.00,544.00,636.00,236.00,7.00
Columbia Heights,"1,776.00","2,100.00","2,743.00",983.00,30.00
Congress Heights,593.00,417.00,396.00,138.00,11.00
Court House,"1,220.00",922.00,891.00,358.00,11.00
Crystal City,"1,211.00","1,207.00","1,571.00",436.00,18.00
Deanwood,390.00,315.00,265.00,105.00,8.00
Downtown Largo,"1,055.00",392.00,303.00,136.00,7.00
Dulles Airport,200.00,340.00,646.00,372.00,3.00
Dunn Loring,666.00,346.00,342.00,116.00,4.00
Dupont Circle,"1,468.00","2,419.00","3,764.00","1,834.00",79.00
East Falls Church,"1,040.00",570.00,419.00,126.00,6.00
Eastern Market,888.00,"1,054.00","1,065.00",568.00,22.00
Eisenhower Ave,412.00,250.00,323.00,99.00,4.00
Farragut North,418.00,"1,547.00","5,060.00","1,349.00",55.00
Farragut West,550.00,"1,511.00","4,727.00","1,124.00",30.00
Federal Center SW,156.00,412.00,"1,112.00",113.00,5.00
Federal Triangle,66.00,603.00,"2,020.00",254.00,9.00
Foggy Bottom-GWU,"1,089.00","2,637.00","5,714.00","2,378.00",37.00
Forest Glen,562.00,237.00,170.00,47.00,6.00
Fort Totten,"2,322.00","1,516.00","1,421.00",402.00,24.00
Franconia-Springfield,"1,395.00",650.00,452.00,134.00,5.00
Friendship Heights,981.00,920.00,"1,006.00",347.00,24.00
Gallery Place,715.00,"2,216.00","5,166.00","3,827.00",143.00
Georgia Ave-Petworth,"1,243.00","1,148.00","1,223.00",424.00,17.00
Glenmont,"1,503.00",668.00,410.00,137.00,12.00
Greenbelt,"1,186.00",703.00,514.00,172.00,8.00
Greensboro,184.00,184.00,362.00,119.00,4.00
Grosvenor-Strathmore,985.00,478.00,352.00,93.00,8.00
Herndon,400.00,184.00,126.00,39.00,1.00
Huntington,"1,581.00",662.00,409.00,132.00,7.00
Hyattsville Crossing,"1,032.00",791.00,724.00,309.00,12.00
Innovation Center,261.00,186.00,167.00,39.00,1.00
Judiciary Square,245.00,733.00,"1,784.00",376.00,16.00
King St-Old Town,959.00,904.00,985.00,405.00,18.00
L'Enfant Plaza,997.00,"1,759.00","4,352.00",827.00,84.00
Landover,467.00,184.00,114.00,52.00,5.00
Loudoun Gateway,110.00,45.00,49.00,12.00,1.00
McLean,260.00,262.00,787.00,139.00,5.00
McPherson Sq,853.00,"1,222.00","2,982.00",849.00,57.00
Medical Center,329.00,484.00,"1,439.00",271.00,15.00
Metro Center,651.00,"2,042.00","6,083.00","2,025.00",54.00
Minnesota Ave,563.00,512.00,514.00,204.00,12.00
Morgan Boulevard,419.00,186.00,149.00,47.00,7.00
Mt Vernon Sq,618.00,835.00,"1,265.00",754.00,34.00
Navy Yard-Ballpark,"1,356.00","1,376.00","2,301.00","1,024.00",45.00
Naylor Road,626.00,339.00,231.00,147.00,6.00
New Carrollton,"1,361.00",687.00,475.00,177.00,8.00
NoMa-Gallaudet U,"2,340.00","2,239.00","3,163.00","1,009.00",45.00
North Bethesda,601.00,455.00,490.00,188.00,7.00
Pentagon,"1,657.00","1,186.00","2,876.00",214.00,9.00
Pentagon City,"1,757.00","1,904.00","2,162.00",827.00,9.00
