Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close)
Addison Road,580.00,287.00,149.00,78.00,8.00
Anacostia,"1,054.00","1,062.00",907.00,332.00,18.00
Archives,145.00,725.00,"2,167.00",429.00,12.00
Arlington Cemetery,52.00,234.00,222.00,39.00,5.00
Ashburn,491.00,239.00,139.00,39.00,2.00
Ballston-MU,"1,411.00","1,111.00","1,473.00",536.00,22.00
Benning Road,724.00,543.00,368.00,158.00,5.00
Bethesda,982.00,940.00,"1,244.00",426.00,14.00
Braddock Road,751.00,416.00,376.00,134.00,9.00
Branch Ave,"1,073.00",441.00,269.00,106.00,7.00
Brookland-CUA,981.00,"1,078.00","1,216.00",401.00,13.00
Capitol Heights,538.00,309.00,213.00,91.00,5.00
Capitol South,449.00,687.00,"1,806.00",297.00,5.00
Cheverly,205.00,109.00,66.00,30.00,3.00
Clarendon,715.00,662.00,770.00,425.00,33.00
Cleveland Park,600.00,596.00,485.00,228.00,10.00
College Park-U of Md,455.00,397.00,429.00,134.00,7.00
Columbia Heights,"1,621.00","2,061.00","2,526.00",928.00,26.00
Congress Heights,514.00,382.00,350.00,122.00,12.00
Court House,996.00,680.00,701.00,281.00,11.00
Crystal City,"1,029.00","1,001.00","1,347.00",360.00,16.00
Deanwood,349.00,308.00,241.00,93.00,8.00
Downtown Largo,917.00,371.00,278.00,129.00,8.00
Dulles Airport,199.00,367.00,632.00,425.00,2.00
Dunn Loring,574.00,301.00,289.00,93.00,3.00
Dupont Circle,"1,196.00","2,001.00","3,133.00","1,491.00",63.00
East Falls Church,890.00,506.00,375.00,110.00,5.00
Eastern Market,766.00,962.00,916.00,459.00,25.00
Eisenhower Ave,347.00,228.00,288.00,92.00,3.00
Farragut North,363.00,"1,375.00","4,480.00","1,163.00",39.00
Farragut West,480.00,"1,331.00","4,163.00",925.00,24.00
Federal Center SW,134.00,371.00,973.00,107.00,5.00
Federal Triangle,65.00,513.00,"1,770.00",208.00,9.00
Foggy Bottom-GWU,984.00,"2,354.00","4,758.00","1,808.00",37.00
Forest Glen,484.00,222.00,160.00,54.00,10.00
Fort Totten,"1,992.00","1,423.00","1,199.00",349.00,18.00
Franconia-Springfield,"1,145.00",641.00,415.00,121.00,4.00
Friendship Heights,836.00,899.00,929.00,318.00,19.00
Gallery Place,630.00,"2,011.00","4,802.00","3,780.00",87.00
Georgia Ave-Petworth,"1,148.00","1,156.00","1,190.00",439.00,17.00
Glenmont,"1,278.00",575.00,355.00,119.00,11.00
Greenbelt,"1,028.00",668.00,438.00,144.00,8.00
Greensboro,156.00,176.00,315.00,103.00,4.00
Grosvenor-Strathmore,833.00,465.00,318.00,81.00,9.00
Herndon,345.00,161.00,111.00,31.00,1.00
Huntington,"1,417.00",662.00,374.00,126.00,11.00
Hyattsville Crossing,895.00,699.00,605.00,250.00,10.00
Innovation Center,219.00,154.00,153.00,36.00,1.00
Judiciary Square,202.00,625.00,"1,537.00",302.00,18.00
King St-Old Town,811.00,773.00,825.00,333.00,17.00
L'Enfant Plaza,866.00,"1,521.00","3,624.00",609.00,60.00
Landover,412.00,164.00,103.00,46.00,6.00
Loudoun Gateway,98.00,46.00,46.00,13.00,1.00
McLean,227.00,225.00,626.00,116.00,5.00
McPherson Sq,721.00,"1,081.00","2,651.00",685.00,38.00
Medical Center,273.00,429.00,"1,196.00",179.00,9.00
Metro Center,592.00,"1,884.00","5,481.00","1,787.00",55.00
Minnesota Ave,433.00,434.00,390.00,150.00,8.00
Morgan Boulevard,369.00,179.00,143.00,140.00,5.00
Mt Vernon Sq,531.00,884.00,"1,295.00",655.00,29.00
Navy Yard-Ballpark,"1,114.00","1,203.00","1,881.00",675.00,23.00
Naylor Road,564.00,314.00,213.00,133.00,7.00
New Carrollton,"1,177.00",643.00,421.00,169.00,8.00
NoMa-Gallaudet U,"2,008.00","2,079.00","2,736.00",881.00,29.00
North Bethesda,509.00,416.00,433.00,163.00,8.00
Pentagon,"1,424.00","1,055.00","2,422.00",189.00,7.00
Pentagon City,"1,495.00","1,679.00","1,850.00",703.00,10.00
Potomac Ave,841.00,597.00,431.00,186.00,7.00
Potomac Yard,383.00,297.00,307.00,85.00,5.00
Reston Town Center,195.00,156.00,208.00,60.00,3.00
Rhode Island Ave,"1,150.00","1,086.00",887.00,408.00,12.00
Rockville,692.00,512.00,440.00,160.00,4.00
Ronald Reagan Washington National Airport,444.00,"1,523.00","1,417.00","1,242.00",29.00
Rosslyn,"1,101.00","1,220.00","1,950.00",558.00,20.00
Shady Grove,"2,204.00","1,086.00",681.00,179.00,7.00
Shaw-Howard U,640.00,824.00,"1,123.00",486.00,27.00
Silver Spring,"1,679.00","1,148.00","1,166.00",462.00,25.00
Smithsonian,137.00,778.00,"1,869.00",194.00,13.00
Southern Ave,991.00,583.00,370.00,187.00,9.00
Spring Hill,115.00,140.00,171.00,66.00,7.00
Stadium-Armory,487.00,509.00,468.00,171.00,12.00
Suitland,"1,034.00",624.00,459.00,236.00,12.00
Takoma,"1,111.00",911.00,770.00,215.00,10.00
Tenleytown-AU,536.00,802.00,"1,262.00",479.00,15.00
Twinbrook,712.00,508.00,413.00,140.00,7.00
Tysons,194.00,332.00,717.00,362.00,8.00
U Street,831.00,"1,035.00","1,277.00",912.00,76.00
Union Station,"2,658.00","2,503.00","4,001.00","1,395.00",29.00
Van Dorn Street,537.00,272.00,175.00,71.00,4.00
Van Ness-UDC,772.00,871.00,815.00,274.00,10.00
Vienna,"1,342.00",734.00,476.00,149.00,5.00
Virginia Sq-GMU,608.00,422.00,401.00,148.00,7.00
Waterfront,536.00,628.00,782.00,350.00,12.00
West Falls Church,427.00,216.00,138.00,48.00,3.00
West Hyattsville,929.00,545.00,391.00,109.00,7.00
Wheaton,642.00,407.00,353.00,155.00,14.00
Wiehle-Reston East,549.00,304.00,270.00,67.00,6.00
Woodley Park,756.00,779.00,696.00,273.00,23.00
