Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close)
Addison Road,661.00,372.00,215.00,120.00,10.00
Anacostia,"1,004.00","1,102.00",956.00,379.00,15.00
Archives,159.00,"1,128.00","3,093.00","1,036.00",21.00
Arlington Cemetery,50.00,854.00,495.00,50.00,7.00
Ashburn,670.00,427.00,239.00,88.00,1.00
Ballston-MU,"1,666.00","1,455.00","1,723.00",670.00,24.00
Benning Road,692.00,541.00,311.00,138.00,8.00
Bethesda,"1,212.00","1,329.00","1,609.00",633.00,14.00
Braddock Road,848.00,555.00,526.00,224.00,12.00
Branch Ave,"1,225.00",595.00,365.00,138.00,8.00
Brookland-CUA,"1,114.00","1,091.00","1,073.00",356.00,10.00
Capitol Heights,548.00,340.00,192.00,84.00,5.00
Capitol South,457.00,"1,244.00","2,802.00",572.00,8.00
Cheverly,244.00,147.00,94.00,41.00,5.00
Clarendon,770.00,776.00,848.00,520.00,50.00
Cleveland Park,642.00,767.00,641.00,317.00,11.00
College Park-U of Md,836.00,813.00,586.00,209.00,8.00
Columbia Heights,"1,669.00","2,315.00","2,657.00","1,135.00",30.00
Congress Heights,520.00,481.00,398.00,182.00,5.00
Court House,"1,195.00","1,031.00","1,004.00",436.00,17.00
Crystal City,"1,243.00","1,335.00","1,670.00",531.00,16.00
Deanwood,336.00,281.00,199.00,82.00,6.00
Downtown Largo,"1,047.00",470.00,338.00,192.00,13.00
Dulles Airport,438.00,591.00,987.00,602.00,5.00
Dunn Loring,683.00,443.00,404.00,143.00,3.00
Dupont Circle,"1,557.00","2,726.00","3,805.00","2,451.00",94.00
East Falls Church,"1,064.00",765.00,564.00,184.00,5.00
Eastern Market,807.00,"1,313.00","1,133.00",688.00,14.00
Eisenhower Ave,418.00,338.00,361.00,142.00,4.00
Farragut North,484.00,"1,771.00","4,828.00","1,570.00",59.00
Farragut West,674.00,"1,749.00","4,604.00","1,342.00",43.00
Federal Center SW,172.00,584.00,"1,401.00",171.00,6.00
Federal Triangle,71.00,904.00,"2,420.00",426.00,11.00
Foggy Bottom-GWU,"1,769.00","2,900.00","5,142.00","2,335.00",44.00
