Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close)
Addison Road,774.00,434.00,233.00,132.00,8.00
Anacostia,"1,223.00","1,066.00","1,043.00",345.00,12.00
Archives,161.00,964.00,"2,690.00",677.00,13.00
Arlington Cemetery,43.00,803.00,497.00,34.00,3.00
Ashburn,643.00,351.00,192.00,74.00,1.00
Ballston-MU,"1,738.00","1,375.00","1,642.00",626.00,24.00
Benning Road,839.00,533.00,328.00,116.00,5.00
Bethesda,"1,227.00","1,266.00","1,524.00",570.00,14.00
Braddock Road,930.00,534.00,501.00,210.00,10.00
Branch Ave,"1,375.00",541.00,339.00,148.00,10.00
Brookland-CUA,"1,164.00","1,046.00","1,178.00",351.00,10.00
Capitol Heights,655.00,358.00,229.00,94.00,7.00
Capitol South,496.00,"1,113.00","2,367.00",531.00,8.00
Cheverly,262.00,137.00,91.00,37.00,3.00
Clarendon,799.00,733.00,772.00,495.00,41.00
Cleveland Park,681.00,721.00,644.00,294.00,8.00
College Park-U of Md,656.00,626.00,618.00,224.00,8.00
Columbia Heights,"1,802.00","2,220.00","2,866.00","1,115.00",26.00
Congress Heights,644.00,471.00,415.00,191.00,5.00
Court House,"1,265.00",985.00,968.00,412.00,17.00
Crystal City,"1,291.00","1,387.00","1,651.00",506.00,14.00
Deanwood,404.00,330.00,250.00,106.00,9.00
Downtown Largo,"1,117.00",367.00,260.00,113.00,11.00
Dulles Airport,385.00,581.00,"1,028.00",606.00,4.00
Dunn Loring,718.00,414.00,395.00,137.00,4.00
Dupont Circle,"1,537.00","2,749.00","4,128.00","2,122.00",71.00
East Falls Church,"1,129.00",684.00,505.00,155.00,10.00
Eastern Market,871.00,"1,156.00","1,088.00",655.00,17.00
Eisenhower Ave,451.00,314.00,346.00,124.00,3.00
Farragut North,467.00,"1,916.00","5,357.00","1,603.00",48.00
Farragut West,611.00,"1,805.00","4,889.00","1,270.00",29.00
Federal Center SW,173.00,574.00,"1,357.00",175.00,6.00
Federal Triangle,75.00,824.00,"2,352.00",341.00,10.00
Foggy Bottom-GWU,"1,192.00","2,832.00","5,513.00","2,252.00",32.00
Forest Glen,606.00,276.00,185.00,63.00,9.00
Fort Totten,"2,579.00","1,686.00","1,526.00",500.00,34.00
Franconia-Springfield,"1,464.00",860.00,554.00,183.00,7.00
Friendship Heights,"1,030.00","1,108.00","1,130.00",419.00,16.00
Gallery Place,759.00,"2,366.00","4,917.00","3,014.00",94.00
Georgia Ave-Petworth,"1,318.00","1,209.00","1,281.00",449.00,13.00
Glenmont,"1,577.00",726.00,427.00,167.00,13.00
Greenbelt,"1,382.00",834.00,569.00,217.00,7.00
Greensboro,193.00,208.00,379.00,145.00,5.00
Grosvenor-Strathmore,"1,038.00",593.00,389.00,122.00,8.00
Herndon,437.00,231.00,153.00,52.00,2.00
Huntington,"1,730.00",820.00,522.00,185.00,12.00
Hyattsville Crossing,"1,127.00",815.00,689.00,319.00,11.00
Innovation Center,309.00,260.00,233.00,54.00,1.00
Judiciary Square,234.00,828.00,"1,869.00",423.00,13.00
King St-Old Town,"1,149.00","1,220.00","1,137.00",558.00,23.00
L'Enfant Plaza,"1,046.00","2,152.00","4,947.00","1,211.00",65.00
Landover,518.00,198.00,125.00,65.00,4.00
Loudoun Gateway,124.00,69.00,64.00,17.00,1.00
McLean,302.00,330.00,781.00,197.00,8.00
McPherson Sq,917.00,"1,576.00","3,172.00",981.00,52.00
Medical Center,349.00,512.00,"1,392.00",220.00,5.00
Metro Center,737.00,"2,511.00","6,462.00","2,351.00",56.00
Minnesota Ave,545.00,446.00,433.00,151.00,14.00
Morgan Boulevard,445.00,183.00,147.00,110.00,11.00
Mt Vernon Sq,645.00,935.00,"1,354.00",712.00,27.00
Navy Yard-Ballpark,"1,344.00","1,548.00","3,345.00","3,383.00",57.00
Naylor Road,665.00,328.00,200.00,130.00,7.00
New Carrollton,"1,491.00",783.00,506.00,183.00,7.00
NoMa-Gallaudet U,"2,324.00","2,485.00","3,295.00","1,240.00",32.00
North Bethesda,638.00,523.00,550.00,224.00,7.00
Pentagon,"1,772.00","1,428.00","2,809.00",233.00,10.00
Pentagon City,"1,799.00","2,159.00","2,376.00","1,051.00",11.00
Potomac Ave,983.00,680.00,509.00,223.00,8.00
Potomac Yard,489.00,383.00,393.00,133.00,6.00
Reston Town Center,264.00,230.00,286.00,93.00,2.00
Rhode Island Ave,"1,451.00","1,389.00","1,144.00",588.00,15.00
Rockville,866.00,629.00,523.00,219.00,6.00
Ronald Reagan Washington National Airport,640.00,"1,900.00","1,713.00","1,612.00",20.00
Rosslyn,"1,407.00","1,832.00","2,583.00",864.00,24.00
Shady Grove,"2,801.00","1,353.00",829.00,258.00,6.00
Shaw-Howard U,672.00,801.00,"1,161.00",522.00,31.00
Silver Spring,"2,041.00","1,557.00","1,476.00",631.00,25.00
Smithsonian,163.00,"1,519.00","3,126.00",743.00,16.00
Southern Ave,"1,285.00",640.00,411.00,225.00,7.00
Spring Hill,159.00,195.00,241.00,98.00,5.00
Stadium-Armory,548.00,533.00,510.00,185.00,13.00
Suitland,"1,207.00",576.00,362.00,170.00,8.00
Takoma,"1,314.00",924.00,976.00,317.00,20.00
Tenleytown-AU,673.00,866.00,"1,434.00",473.00,14.00
Twinbrook,874.00,625.00,488.00,193.00,7.00
Tysons,259.00,451.00,910.00,493.00,9.00
U Street,934.00,"1,153.00","1,482.00","1,227.00",100.00
Union Station,"3,294.00","3,208.00","4,787.00","1,998.00",30.00
Van Dorn Street,672.00,361.00,244.00,109.00,8.00
Van Ness-UDC,922.00,979.00,882.00,254.00,6.00
Vienna,"1,705.00","1,000.00",609.00,205.00,6.00
Virginia Sq-GMU,709.00,555.00,534.00,191.00,7.00
Waterfront,665.00,821.00,"1,076.00",800.00,27.00
West Falls Church,541.00,290.00,179.00,58.00,4.00
West Hyattsville,"1,191.00",620.00,456.00,142.00,7.00
Wheaton,739.00,535.00,459.00,214.00,11.00
Wiehle-Reston East,672.00,406.00,369.00,103.00,8.00
Woodley Park,926.00,"1,255.00","1,351.00",409.00,26.00
