Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close)
Addison Road,658.00,361.00,204.00,93.00,5.00
Anacostia,"1,134.00","1,072.00",988.00,273.00,17.00
Archives,135.00,999.00,"2,422.00",568.00,13.00
Arlington Cemetery,29.00,350.00,264.00,2.00,1.00
Ashburn,580.00,346.00,216.00,75.00,1.00
Ballston-MU,"1,427.00","1,318.00","1,544.00",584.00,26.00
Benning Road,737.00,491.00,331.00,110.00,9.00
Bethesda,"1,105.00","1,274.00","1,500.00",548.00,15.00
Braddock Road,782.00,538.00,476.00,169.00,11.00
Branch Ave,"1,182.00",489.00,289.00,108.00,4.00
Brookland-CUA,980.00,"1,104.00","1,315.00",340.00,11.00
Capitol Heights,561.00,302.00,200.00,71.00,7.00
Capitol South,413.00,874.00,"1,808.00",330.00,7.00
Cheverly,231.00,122.00,77.00,29.00,7.00
Clarendon,695.00,734.00,775.00,471.00,45.00
Cleveland Park,621.00,737.00,643.00,274.00,10.00
College Park-U of Md,551.00,668.00,682.00,252.00,8.00
Columbia Heights,"1,631.00","2,353.00","2,738.00","1,009.00",31.00
Congress Heights,519.00,388.00,314.00,99.00,5.00
Court House,"1,088.00","1,030.00",913.00,403.00,17.00
Crystal City,"1,097.00","1,272.00","1,435.00",445.00,17.00
Deanwood,332.00,245.00,250.00,67.00,6.00
Downtown Largo,985.00,429.00,296.00,114.00,9.00
Dulles Airport,304.00,537.00,857.00,478.00,4.00
Dunn Loring,627.00,387.00,370.00,114.00,3.00
Dupont Circle,"1,369.00","2,686.00","3,874.00","1,920.00",85.00
East Falls Church,953.00,670.00,507.00,150.00,5.00
Eastern Market,751.00,"1,180.00","1,100.00",507.00,20.00
Eisenhower Ave,390.00,304.00,336.00,120.00,6.00
Farragut North,431.00,"1,777.00","4,781.00","1,340.00",53.00
Farragut West,527.00,"1,653.00","4,201.00","1,001.00",37.00
Federal Center SW,146.00,489.00,"1,101.00",110.00,8.00
Federal Triangle,67.00,731.00,"1,953.00",265.00,13.00
Foggy Bottom-GWU,"1,032.00","2,883.00","5,443.00","2,276.00",44.00
Forest Glen,474.00,276.00,180.00,54.00,3.00
Fort Totten,"2,224.00","1,691.00","1,527.00",468.00,16.00
Franconia-Springfield,"1,211.00",830.00,532.00,153.00,5.00
Friendship Heights,915.00,"1,103.00","1,096.00",371.00,15.00
Gallery Place,728.00,"2,490.00","5,057.00","4,324.00",120.00
Georgia Ave-Petworth,"1,159.00","1,221.00","1,176.00",378.00,15.00
Glenmont,"1,271.00",691.00,417.00,135.00,14.00
Greenbelt,"1,178.00",788.00,565.00,171.00,5.00
Greensboro,153.00,204.00,363.00,126.00,4.00
Grosvenor-Strathmore,922.00,658.00,576.00,213.00,18.00
Herndon,385.00,223.00,153.00,45.00,1.00
Huntington,"1,498.00",789.00,481.00,148.00,8.00
Hyattsville Crossing,"1,013.00",839.00,703.00,281.00,13.00
Innovation Center,266.00,259.00,215.00,55.00,2.00
Judiciary Square,213.00,799.00,"1,694.00",394.00,15.00
King St-Old Town,929.00,"1,070.00","1,041.00",450.00,20.00
L'Enfant Plaza,874.00,"1,950.00","4,103.00",977.00,78.00
Landover,468.00,172.00,102.00,45.00,4.00
Loudoun Gateway,114.00,62.00,61.00,18.00,2.00
McLean,259.00,341.00,753.00,173.00,7.00
McPherson Sq,766.00,"1,353.00","2,670.00",797.00,41.00
Medical Center,431.00,702.00,"1,376.00",244.00,12.00
Metro Center,673.00,"2,427.00","5,803.00","2,365.00",67.00
Minnesota Ave,472.00,406.00,364.00,110.00,6.00
Morgan Boulevard,377.00,179.00,438.00,47.00,5.00
Mt Vernon Sq,604.00,914.00,"1,117.00",619.00,34.00
Navy Yard-Ballpark,"1,230.00","1,519.00","2,630.00",883.00,34.00
Naylor Road,582.00,290.00,155.00,82.00,5.00
New Carrollton,"1,301.00",699.00,488.00,151.00,8.00
NoMa-Gallaudet U,"2,250.00","2,641.00","3,220.00","1,186.00",42.00
North Bethesda,537.00,488.00,493.00,183.00,9.00
Pentagon,"1,507.00","1,279.00","2,471.00",173.00,15.00
Pentagon City,"1,661.00","2,228.00","2,544.00","1,003.00",13.00
Potomac Ave,861.00,669.00,503.00,197.00,7.00
Potomac Yard,464.00,412.00,400.00,122.00,5.00
Reston Town Center,243.00,219.00,270.00,88.00,4.00
Rhode Island Ave,"1,236.00","1,138.00","1,009.00",473.00,15.00
Rockville,750.00,589.00,481.00,172.00,6.00
Ronald Reagan Washington National Airport,595.00,"1,940.00","1,791.00","1,543.00",23.00
Rosslyn,"1,248.00","1,830.00","2,447.00",722.00,29.00
Shady Grove,"2,418.00","1,277.00",882.00,238.00,3.00
