Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close)
Addison Road,727.00,368.00,209.00,122.00,8.00
Anacostia,"1,251.00","1,069.00","1,048.00",313.00,18.00
Archives,157.00,"1,036.00","2,783.00",772.00,11.00
Arlington Cemetery,41.00,468.00,367.00,31.00,5.00
Ashburn,659.00,349.00,213.00,66.00,2.00
Ballston-MU,"1,660.00","1,368.00","1,674.00",618.00,20.00
Benning Road,819.00,458.00,332.00,120.00,5.00
Bethesda,"1,278.00","1,288.00","1,621.00",597.00,16.00
Braddock Road,884.00,546.00,501.00,192.00,7.00
Branch Ave,"1,338.00",512.00,320.00,123.00,4.00
Brookland-CUA,"1,173.00","1,220.00","1,486.00",467.00,13.00
Capitol Heights,610.00,286.00,207.00,76.00,6.00
Capitol South,482.00,941.00,"2,290.00",508.00,8.00
Cheverly,266.00,132.00,95.00,39.00,8.00
Clarendon,813.00,773.00,832.00,512.00,40.00
Cleveland Park,703.00,735.00,634.00,292.00,11.00
College Park-U of Md,632.00,703.00,714.00,283.00,9.00
Columbia Heights,"1,840.00","2,329.00","2,902.00","1,150.00",30.00
Congress Heights,631.00,417.00,391.00,159.00,6.00
Court House,"1,270.00","1,038.00",987.00,420.00,18.00
Crystal City,"1,260.00","1,392.00","1,631.00",491.00,15.00
Deanwood,381.00,252.00,222.00,63.00,6.00
Downtown Largo,"1,081.00",449.00,319.00,134.00,7.00
Dulles Airport,322.00,515.00,"1,046.00",574.00,4.00
Dunn Loring,723.00,427.00,404.00,132.00,4.00
Dupont Circle,"1,604.00","2,620.00","3,865.00","2,071.00",81.00
East Falls Church,"1,106.00",699.00,540.00,164.00,5.00
Eastern Market,909.00,"1,275.00","1,155.00",638.00,16.00
Eisenhower Ave,450.00,318.00,363.00,127.00,5.00
Farragut North,467.00,"1,765.00","5,291.00","1,545.00",63.00
Farragut West,569.00,"1,658.00","4,717.00","1,209.00",35.00
Federal Center SW,166.00,474.00,"1,275.00",193.00,7.00
Federal Triangle,73.00,739.00,"2,204.00",324.00,8.00
Foggy Bottom-GWU,"1,175.00","3,068.00","6,210.00","2,871.00",46.00
Forest Glen,533.00,272.00,191.00,58.00,7.00
Fort Totten,"2,571.00","1,733.00","1,614.00",516.00,16.00
Franconia-Springfield,"1,366.00",833.00,545.00,173.00,4.00
Friendship Heights,"1,055.00","1,079.00","1,122.00",387.00,14.00
Gallery Place,783.00,"2,289.00","4,970.00","3,625.00",111.00
Georgia Ave-Petworth,"1,305.00","1,183.00","1,327.00",453.00,14.00
Glenmont,"1,328.00",684.00,396.00,144.00,12.00
Greenbelt,"1,333.00",828.00,599.00,195.00,7.00
Greensboro,182.00,200.00,393.00,147.00,3.00
Grosvenor-Strathmore,"1,074.00",646.00,519.00,205.00,20.00
Herndon,456.00,235.00,167.00,51.00,4.00
Huntington,"1,716.00",835.00,514.00,165.00,9.00
Hyattsville Crossing,"1,117.00",845.00,688.00,315.00,10.00
Innovation Center,303.00,273.00,235.00,62.00,3.00
Judiciary Square,250.00,834.00,"2,022.00",544.00,20.00
King St-Old Town,"1,036.00","1,100.00","1,116.00",536.00,20.00
L'Enfant Plaza,985.00,"1,963.00","4,772.00","1,349.00",108.00
Landover,513.00,182.00,108.00,50.00,4.00
Loudoun Gateway,132.00,67.00,65.00,22.00,1.00
McLean,292.00,345.00,889.00,226.00,7.00
