Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),MONTH,SEASON
Addison Road,584.00,321.00,195.00,95.00,7.0,December,Winter
Anacostia,"1,066.00","1,027.00",965.00,269.00,17.0,December,Winter
Archives,128.00,913.00,"2,421.00",574.00,16.0,December,Winter
Arlington Cemetery,44.00,457.00,202.00,2.00,0.0,December,Winter
Ashburn,519.00,351.00,216.00,67.00,3.0,December,Winter
Ballston-MU,"1,250.00","1,174.00","1,390.00",504.00,33.0,December,Winter
Benning Road,651.00,415.00,284.00,96.00,6.0,December,Winter
Bethesda,983.00,"1,162.00","1,429.00",527.00,19.0,December,Winter
Braddock Road,725.00,501.00,452.00,165.00,23.0,December,Winter
Branch Ave,"1,131.00",457.00,283.00,105.00,5.0,December,Winter
Brookland-CUA,883.00,989.00,"1,106.00",276.00,14.0,December,Winter
Capitol Heights,504.00,263.00,178.00,60.00,7.0,December,Winter
Capitol South,342.00,717.00,"1,611.00",349.00,9.0,December,Winter
Cheverly,198.00,124.00,91.00,47.00,7.0,December,Winter
Clarendon,606.00,651.00,717.00,423.00,58.0,December,Winter
Cleveland Park,563.00,687.00,563.00,301.00,11.0,December,Winter
College Park-U of Md,495.00,521.00,525.00,161.00,8.0,December,Winter
Columbia Heights,"1,530.00","2,190.00","2,574.00",933.00,37.0,December,Winter
Congress Heights,531.00,389.00,307.00,111.00,6.0,December,Winter
Court House,933.00,851.00,794.00,327.00,22.0,December,Winter
Crystal City,"1,032.00","1,264.00","1,381.00",414.00,20.0,December,Winter
Deanwood,292.00,223.00,201.00,61.00,7.0,December,Winter
Downtown Largo,895.00,364.00,255.00,113.00,9.0,December,Winter
Dulles Airport,370.00,577.00,953.00,519.00,5.0,December,Winter
Dunn Loring,549.00,335.00,329.00,97.00,5.0,December,Winter
Dupont Circle,"1,243.00","2,582.00","3,773.00","1,845.00",92.0,December,Winter
East Falls Church,855.00,622.00,469.00,128.00,8.0,December,Winter
Eastern Market,701.00,"1,079.00",994.00,466.00,27.0,December,Winter
Eisenhower Ave,384.00,291.00,317.00,111.00,6.0,December,Winter
Farragut North,440.00,"1,797.00","4,668.00","1,425.00",61.0,December,Winter
Farragut West,396.00,"1,153.00","3,335.00",859.00,32.0,December,Winter
Federal Center SW,172.00,583.00,"1,296.00",264.00,15.0,December,Winter
Federal Triangle,146.00,750.00,"1,940.00",399.00,22.0,December,Winter
Foggy Bottom-GWU,"1,073.00","2,693.00","5,245.00","2,142.00",79.0,December,Winter
Forest Glen,445.00,278.00,192.00,52.00,4.0,December,Winter
Fort Totten,"2,035.00","1,520.00","1,335.00",395.00,23.0,December,Winter
Franconia-Springfield,"1,148.00",800.00,548.00,150.00,8.0,December,Winter
Friendship Heights,808.00,"1,032.00","1,041.00",350.00,19.0,December,Winter
Gallery Place,717.00,"2,905.00","6,185.00","5,397.00",134.0,December,Winter
Georgia Ave-Petworth,"1,063.00","1,135.00","1,138.00",349.00,23.0,December,Winter
Glenmont,"1,210.00",720.00,419.00,134.00,10.0,December,Winter
Greenbelt,"1,122.00",796.00,550.00,162.00,7.0,December,Winter
Greensboro,129.00,173.00,319.00,117.00,4.0,December,Winter
Grosvenor-Strathmore,825.00,632.00,446.00,120.00,9.0,December,Winter
Herndon,351.00,213.00,143.00,41.00,2.0,December,Winter
Huntington,"1,403.00",782.00,481.00,143.00,10.0,December,Winter
Hyattsville Crossing,926.00,762.00,688.00,262.00,11.0,December,Winter
Innovation Center,230.00,232.00,194.00,56.00,2.0,December,Winter
Judiciary Square,187.00,694.00,"1,555.00",350.00,18.0,December,Winter
King St-Old Town,869.00,"1,038.00",975.00,442.00,61.0,December,Winter
L'Enfant Plaza,900.00,"1,979.00","4,194.00",995.00,114.0,December,Winter
Landover,423.00,164.00,94.00,41.00,3.0,December,Winter
Loudoun Gateway,105.00,65.00,58.00,20.00,2.0,December,Winter
McLean,221.00,280.00,645.00,155.00,7.0,December,Winter
McPherson Sq,610.00,961.00,"2,111.00",671.00,41.0,December,Winter
Medical Center,265.00,455.00,"1,158.00",180.00,10.0,December,Winter
Metro Center,689.00,"2,420.00","5,859.00","2,588.00",108.0,December,Winter
Minnesota Ave,426.00,356.00,333.00,105.00,7.0,December,Winter
Morgan Boulevard,341.00,171.00,429.00,219.00,78.0,December,Winter
Mt Vernon Sq,542.00,"1,003.00","1,395.00",696.00,42.0,December,Winter
Navy Yard-Ballpark,"1,124.00","1,415.00","2,119.00",845.00,47.0,December,Winter
Naylor Road,510.00,259.00,157.00,74.00,4.0,December,Winter
New Carrollton,"1,190.00",656.00,445.00,140.00,6.0,December,Winter
NoMa-Gallaudet U,"1,955.00","2,354.00","2,955.00","1,058.00",55.0,December,Winter
North Bethesda,494.00,470.00,476.00,175.00,8.0,December,Winter
Pentagon,"1,415.00","1,311.00","2,378.00",174.00,10.0,December,Winter
Pentagon City,"1,492.00","2,174.00","2,549.00",996.00,15.0,December,Winter
Potomac Ave,756.00,560.00,421.00,156.00,8.0,December,Winter
Potomac Yard,406.00,378.00,380.00,107.00,7.0,December,Winter
Reston Town Center,199.00,184.00,235.00,82.00,4.0,December,Winter
Rhode Island Ave,"1,193.00","1,190.00","1,017.00",458.00,21.0,December,Winter
Rockville,681.00,555.00,462.00,163.00,7.0,December,Winter
Ronald Reagan Washington National Airport,598.00,"1,909.00","1,770.00","1,589.00",27.0,December,Winter
Rosslyn,"1,069.00","1,513.00","2,068.00",604.00,28.0,December,Winter
Shady Grove,"2,239.00","1,306.00",898.00,225.00,9.0,December,Winter
Shaw-Howard U,543.00,706.00,996.00,403.00,37.0,December,Winter
Silver Spring,"1,552.00","1,401.00","1,299.00",521.00,24.0,December,Winter
Smithsonian,124.00,724.00,"1,637.00",210.00,22.0,December,Winter
Southern Ave,986.00,477.00,304.00,129.00,7.0,December,Winter
Spring Hill,112.00,144.00,192.00,70.00,7.0,December,Winter
Stadium-Armory,428.00,429.00,464.00,147.00,11.0,December,Winter
Suitland,976.00,485.00,343.00,114.00,5.0,December,Winter
Takoma,"1,035.00",865.00,787.00,188.00,9.0,December,Winter
Tenleytown-AU,551.00,917.00,"1,317.00",448.00,14.0,December,Winter
Twinbrook,682.00,563.00,468.00,150.00,5.0,December,Winter
Tysons,212.00,453.00,927.00,513.00,11.0,December,Winter
U Street,747.00,"1,058.00","1,271.00",969.00,122.0,December,Winter
Union Station,"2,764.00","3,147.00","4,298.00","1,800.00",47.0,December,Winter
Van Dorn Street,507.00,318.00,212.00,101.00,7.0,December,Winter
Van Ness-UDC,691.00,892.00,773.00,232.00,24.0,December,Winter
Vienna,"1,243.00",894.00,633.00,184.00,9.0,December,Winter
Virginia Sq-GMU,545.00,472.00,468.00,166.00,12.0,December,Winter
Waterfront,600.00,855.00,"1,005.00",686.00,41.0,December,Winter
West Falls Church,421.00,251.00,163.00,49.00,5.0,December,Winter
West Hyattsville,"1,001.00",591.00,414.00,98.00,6.0,December,Winter
Wheaton,586.00,506.00,471.00,192.00,15.0,December,Winter
Wiehle-Reston East,505.00,377.00,323.00,91.00,8.0,December,Winter
Woodley Park,700.00,929.00,998.00,662.00,33.0,December,Winter
