Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),MONTH,SEASON
Addison Road,798.00,392.00,223.00,116.00,9.0,October,Fall
Anacostia,"1,347.00","1,118.00","1,131.00",313.00,14.0,October,Fall
Archives,164.00,"1,140.00","3,086.00",836.00,13.0,October,Fall
Arlington Cemetery,49.00,643.00,489.00,2.00,1.0,October,Fall
Ashburn,754.00,357.00,230.00,68.00,1.0,October,Fall
Ballston-MU,"1,894.00","1,477.00","1,850.00",667.00,18.0,October,Fall
Benning Road,897.00,534.00,390.00,129.00,6.0,October,Fall
Bethesda,"1,428.00","1,390.00","1,766.00",619.00,15.0,October,Fall
Braddock Road,"1,032.00",595.00,567.00,202.00,9.0,October,Fall
Branch Ave,"1,491.00",513.00,323.00,127.00,4.0,October,Fall
Brookland-CUA,"1,263.00","1,335.00","1,625.00",474.00,11.0,October,Fall
Capitol Heights,673.00,331.00,236.00,85.00,9.0,October,Fall
Capitol South,527.00,"1,084.00","2,283.00",376.00,10.0,October,Fall
Cheverly,279.00,148.00,95.00,37.00,7.0,October,Fall
Clarendon,952.00,800.00,861.00,522.00,37.0,October,Fall
Cleveland Park,763.00,788.00,690.00,315.00,10.0,October,Fall
College Park-U of Md,678.00,706.00,798.00,372.00,10.0,October,Fall
Columbia Heights,"1,937.00","2,357.00","3,011.00","1,180.00",29.0,October,Fall
Congress Heights,637.00,425.00,365.00,130.00,7.0,October,Fall
Court House,"1,488.00","1,209.00","1,122.00",450.00,14.0,October,Fall
Crystal City,"1,567.00","1,712.00","1,890.00",539.00,18.0,October,Fall
Deanwood,400.00,299.00,276.00,76.00,13.0,October,Fall
Downtown Largo,"1,204.00",466.00,350.00,163.00,6.0,October,Fall
Dulles Airport,349.00,563.00,"1,124.00",580.00,3.0,October,Fall
Dunn Loring,803.00,425.00,444.00,140.00,4.0,October,Fall
Dupont Circle,"1,816.00","2,811.00","4,218.00","2,314.00",90.0,October,Fall
East Falls Church,"1,243.00",733.00,585.00,175.00,8.0,October,Fall
Eastern Market,959.00,"1,272.00","1,219.00",635.00,16.0,October,Fall
Eisenhower Ave,542.00,400.00,440.00,139.00,5.0,October,Fall
Farragut North,532.00,"2,037.00","6,134.00","2,031.00",64.0,October,Fall
Farragut West,659.00,"1,958.00","5,450.00","1,627.00",37.0,October,Fall
Federal Center SW,194.00,575.00,"1,407.00",153.00,7.0,October,Fall
Federal Triangle,87.00,907.00,"2,508.00",505.00,10.0,October,Fall
