Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),MONTH,SEASON
Addison Road,650.00,331.00,189.00,104.00,9.0,March,Spring
Anacostia,"1,115.00","1,017.00",979.00,292.00,12.0,March,Spring
Archives,162.00,"1,080.00","2,894.00",711.00,14.0,March,Spring
Arlington Cemetery,38.00,733.00,609.00,3.00,4.0,March,Spring
Ashburn,577.00,473.00,204.00,57.00,1.0,March,Spring
Ballston-MU,"1,597.00","1,524.00","1,652.00",654.00,19.0,March,Spring
Benning Road,786.00,537.00,383.00,161.00,9.0,March,Spring
Bethesda,"1,111.00","1,174.00","1,352.00",490.00,16.0,March,Spring
Braddock Road,853.00,590.00,501.00,190.00,10.0,March,Spring
Branch Ave,"1,263.00",573.00,330.00,135.00,8.0,March,Spring
Brookland-CUA,"1,098.00","1,211.00","1,360.00",414.00,10.0,March,Spring
Capitol Heights,604.00,342.00,236.00,97.00,10.0,March,Spring
Capitol South,524.00,"1,296.00","2,596.00",508.00,6.0,March,Spring
Cheverly,235.00,148.00,83.00,35.00,3.0,March,Spring
Clarendon,759.00,806.00,827.00,539.00,43.0,March,Spring
Cleveland Park,650.00,753.00,664.00,311.00,10.0,March,Spring
College Park-U of Md,606.00,728.00,659.00,233.00,7.0,March,Spring
Columbia Heights,"1,755.00","2,307.00","2,798.00","1,080.00",28.0,March,Spring
Congress Heights,595.00,440.00,415.00,167.00,8.0,March,Spring
Court House,"1,257.00","1,178.00","1,028.00",433.00,19.0,March,Spring
Crystal City,"1,330.00","1,605.00","1,731.00",535.00,15.0,March,Spring
Deanwood,370.00,335.00,272.00,115.00,9.0,March,Spring
Downtown Largo,"1,049.00",458.00,309.00,151.00,7.0,March,Spring
Dulles Airport,289.00,489.00,850.00,521.00,3.0,March,Spring
Dunn Loring,665.00,489.00,401.00,126.00,4.0,March,Spring
Dupont Circle,"1,490.00","2,870.00","3,963.00","2,150.00",95.0,March,Spring
East Falls Church,"1,033.00",832.00,527.00,155.00,5.0,March,Spring
Eastern Market,870.00,"1,342.00","1,246.00",683.00,20.0,March,Spring
Eisenhower Ave,450.00,369.00,367.00,128.00,3.0,March,Spring
Farragut North,421.00,"1,755.00","5,061.00","1,561.00",56.0,March,Spring
Farragut West,563.00,"1,773.00","4,747.00","1,314.00",36.0,March,Spring
Federal Center SW,167.00,603.00,"1,387.00",155.00,6.0,March,Spring
Federal Triangle,80.00,952.00,"2,573.00",363.00,11.0,March,Spring
Foggy Bottom-GWU,"1,186.00","3,145.00","5,882.00","2,571.00",39.0,March,Spring
Forest Glen,540.00,329.00,201.00,54.00,5.0,March,Spring
Fort Totten,"2,370.00","1,596.00","1,383.00",429.00,23.0,March,Spring
Franconia-Springfield,"1,427.00","1,119.00",553.00,164.00,6.0,March,Spring
Friendship Heights,"1,022.00","1,505.00","1,279.00",468.00,18.0,March,Spring
Gallery Place,740.00,"2,545.00","5,690.00","5,655.00",201.0,March,Spring
Georgia Ave-Petworth,"1,225.00","1,224.00","1,270.00",432.00,17.0,March,Spring
Glenmont,"1,485.00",865.00,482.00,165.00,12.0,March,Spring
Greenbelt,"1,250.00","1,118.00",632.00,210.00,9.0,March,Spring
Greensboro,176.00,220.00,361.00,136.00,4.0,March,Spring
Grosvenor-Strathmore,941.00,680.00,564.00,248.00,26.0,March,Spring
Herndon,403.00,275.00,153.00,45.00,1.0,March,Spring
Huntington,"1,573.00",928.00,517.00,162.00,11.0,March,Spring
Hyattsville Crossing,"1,041.00",864.00,743.00,350.00,13.0,March,Spring
Innovation Center,280.00,283.00,222.00,49.00,1.0,March,Spring
Judiciary Square,235.00,864.00,"1,814.00",447.00,17.0,March,Spring
King St-Old Town,"1,127.00","1,382.00","1,160.00",517.00,23.0,March,Spring
L'Enfant Plaza,"1,010.00","2,422.00","5,629.00","1,340.00",80.0,March,Spring
Landover,467.00,205.00,117.00,60.00,5.0,March,Spring
Loudoun Gateway,109.00,75.00,58.00,13.00,1.0,March,Spring
McLean,255.00,315.00,761.00,154.00,6.0,March,Spring
McPherson Sq,900.00,"1,617.00","3,145.00","1,025.00",57.0,March,Spring
Medical Center,300.00,443.00,"1,283.00",205.00,10.0,March,Spring
Metro Center,720.00,"2,759.00","6,727.00","2,890.00",86.0,March,Spring
Minnesota Ave,538.00,511.00,473.00,190.00,17.0,March,Spring
Morgan Boulevard,416.00,204.00,155.00,52.00,5.0,March,Spring
Mt Vernon Sq,616.00,"1,004.00","1,487.00",853.00,32.0,March,Spring
Navy Yard-Ballpark,"1,296.00","1,606.00","2,686.00","1,247.00",47.0,March,Spring
Naylor Road,609.00,346.00,229.00,149.00,8.0,March,Spring
New Carrollton,"1,388.00",959.00,524.00,196.00,8.0,March,Spring
NoMa-Gallaudet U,"2,299.00","2,658.00","3,329.00","1,184.00",37.0,March,Spring
North Bethesda,576.00,521.00,518.00,205.00,10.0,March,Spring
Pentagon,"1,610.00","1,358.00","2,873.00",240.00,8.0,March,Spring
Pentagon City,"1,739.00","2,293.00","2,419.00","1,013.00",13.0,March,Spring
Potomac Ave,934.00,716.00,535.00,247.00,7.0,March,Spring
Potomac Yard,448.00,423.00,385.00,125.00,7.0,March,Spring
Reston Town Center,228.00,220.00,259.00,82.00,2.0,March,Spring
Rhode Island Ave,"1,294.00","1,255.00","1,049.00",511.00,14.0,March,Spring
Rockville,771.00,677.00,509.00,195.00,5.0,March,Spring
Ronald Reagan Washington National Airport,638.00,"2,026.00","1,757.00","1,498.00",39.0,March,Spring
Rosslyn,"1,435.00","1,966.00","2,589.00",848.00,30.0,March,Spring
Shady Grove,"2,525.00","1,586.00",890.00,231.00,6.0,March,Spring
Shaw-Howard U,667.00,944.00,"1,236.00",610.00,40.0,March,Spring
Silver Spring,"1,905.00","1,645.00","1,472.00",628.00,27.0,March,Spring
Smithsonian,257.00,"2,922.00","6,369.00","1,277.00",21.0,March,Spring
Southern Ave,"1,153.00",586.00,368.00,186.00,8.0,March,Spring
Spring Hill,142.00,196.00,199.00,87.00,5.0,March,Spring
Stadium-Armory,568.00,612.00,582.00,234.00,14.0,March,Spring
Suitland,"1,053.00",517.00,316.00,136.00,5.0,March,Spring
Takoma,"1,202.00",980.00,915.00,229.00,8.0,March,Spring
Tenleytown-AU,651.00,"1,032.00","1,523.00",585.00,14.0,March,Spring
Twinbrook,803.00,631.00,497.00,178.00,7.0,March,Spring
Tysons,219.00,477.00,852.00,465.00,7.0,March,Spring
U Street,919.00,"1,257.00","1,499.00","1,320.00",105.0,March,Spring
Union Station,"3,121.00","3,410.00","4,893.00","1,960.00",34.0,March,Spring
Van Dorn Street,613.00,397.00,230.00,98.00,6.0,March,Spring
Van Ness-UDC,856.00,"1,008.00",953.00,309.00,10.0,March,Spring
Vienna,"1,620.00","1,394.00",711.00,197.00,7.0,March,Spring
Virginia Sq-GMU,686.00,609.00,580.00,209.00,10.0,March,Spring
Waterfront,678.00,909.00,"1,346.00",861.00,33.0,March,Spring
West Falls Church,485.00,332.00,181.00,60.00,4.0,March,Spring
West Hyattsville,"1,084.00",654.00,466.00,141.00,7.0,March,Spring
Wheaton,723.00,559.00,458.00,185.00,10.0,March,Spring
Wiehle-Reston East,614.00,497.00,370.00,87.00,6.0,March,Spring
Woodley Park,858.00,"1,342.00","1,511.00",415.00,24.0,March,Spring
