Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),MONTH,SEASON,Total Daily Entries
Addison Road,580.00,287.00,149.00,78.00,8.0,January,Winter,1102.0
Anacostia,"1,054.00","1,062.00",907.00,332.00,18.0,January,Winter,3373.0
Archives,145.00,725.00,"2,167.00",429.00,12.0,January,Winter,3478.0
Arlington Cemetery,52.00,234.00,222.00,39.00,5.0,January,Winter,552.0
Ashburn,491.00,239.00,139.00,39.00,2.0,January,Winter,910.0
Ballston-MU,"1,411.00","1,111.00","1,473.00",536.00,22.0,January,Winter,4553.0
Benning Road,724.00,543.00,368.00,158.00,5.0,January,Winter,1798.0
Bethesda,982.00,940.00,"1,244.00",426.00,14.0,January,Winter,3606.0
Braddock Road,751.00,416.00,376.00,134.00,9.0,January,Winter,1686.0
Branch Ave,"1,073.00",441.00,269.00,106.00,7.0,January,Winter,1896.0
Brookland-CUA,981.00,"1,078.00","1,216.00",401.00,13.0,January,Winter,3689.0
Capitol Heights,538.00,309.00,213.00,91.00,5.0,January,Winter,1156.0
Capitol South,449.00,687.00,"1,806.00",297.00,5.0,January,Winter,3244.0
Cheverly,205.00,109.00,66.00,30.00,3.0,January,Winter,413.0
Clarendon,715.00,662.00,770.00,425.00,33.0,January,Winter,2605.0
Cleveland Park,600.00,596.00,485.00,228.00,10.0,January,Winter,1919.0
College Park-U of Md,455.00,397.00,429.00,134.00,7.0,January,Winter,1422.0
Columbia Heights,"1,621.00","2,061.00","2,526.00",928.00,26.0,January,Winter,7162.0
Congress Heights,514.00,382.00,350.00,122.00,12.0,January,Winter,1380.0
Court House,996.00,680.00,701.00,281.00,11.0,January,Winter,2669.0
Crystal City,"1,029.00","1,001.00","1,347.00",360.00,16.0,January,Winter,3753.0
Deanwood,349.00,308.00,241.00,93.00,8.0,January,Winter,999.0
Downtown Largo,917.00,371.00,278.00,129.00,8.0,January,Winter,1703.0
Dulles Airport,199.00,367.00,632.00,425.00,2.0,January,Winter,1625.0
Dunn Loring,574.00,301.00,289.00,93.00,3.0,January,Winter,1260.0
Dupont Circle,"1,196.00","2,001.00","3,133.00","1,491.00",63.0,January,Winter,7884.0
East Falls Church,890.00,506.00,375.00,110.00,5.0,January,Winter,1886.0
Eastern Market,766.00,962.00,916.00,459.00,25.0,January,Winter,3128.0
Eisenhower Ave,347.00,228.00,288.00,92.00,3.0,January,Winter,958.0
Farragut North,363.00,"1,375.00","4,480.00","1,163.00",39.0,January,Winter,7420.0
Farragut West,480.00,"1,331.00","4,163.00",925.00,24.0,January,Winter,6923.0
Federal Center SW,134.00,371.00,973.00,107.00,5.0,January,Winter,1590.0
Federal Triangle,65.00,513.00,"1,770.00",208.00,9.0,January,Winter,2565.0
Foggy Bottom-GWU,984.00,"2,354.00","4,758.00","1,808.00",37.0,January,Winter,9941.0
Forest Glen,484.00,222.00,160.00,54.00,10.0,January,Winter,930.0
Fort Totten,"1,992.00","1,423.00","1,199.00",349.00,18.0,January,Winter,4981.0
Franconia-Springfield,"1,145.00",641.00,415.00,121.00,4.0,January,Winter,2326.0
Friendship Heights,836.00,899.00,929.00,318.00,19.0,January,Winter,3001.0
Gallery Place,630.00,"2,011.00","4,802.00","3,780.00",87.0,January,Winter,11310.0
Georgia Ave-Petworth,"1,148.00","1,156.00","1,190.00",439.00,17.0,January,Winter,3950.0
Glenmont,"1,278.00",575.00,355.00,119.00,11.0,January,Winter,2338.0
Greenbelt,"1,028.00",668.00,438.00,144.00,8.0,January,Winter,2286.0
Greensboro,156.00,176.00,315.00,103.00,4.0,January,Winter,754.0
Grosvenor-Strathmore,833.00,465.00,318.00,81.00,9.0,January,Winter,1706.0
Herndon,345.00,161.00,111.00,31.00,1.0,January,Winter,649.0
Huntington,"1,417.00",662.00,374.00,126.00,11.0,January,Winter,2590.0
Hyattsville Crossing,895.00,699.00,605.00,250.00,10.0,January,Winter,2459.0
Innovation Center,219.00,154.00,153.00,36.00,1.0,January,Winter,563.0
Judiciary Square,202.00,625.00,"1,537.00",302.00,18.0,January,Winter,2684.0
King St-Old Town,811.00,773.00,825.00,333.00,17.0,January,Winter,2759.0
L'Enfant Plaza,866.00,"1,521.00","3,624.00",609.00,60.0,January,Winter,6680.0
Landover,412.00,164.00,103.00,46.00,6.0,January,Winter,731.0
Loudoun Gateway,98.00,46.00,46.00,13.00,1.0,January,Winter,204.0
McLean,227.00,225.00,626.00,116.00,5.0,January,Winter,1199.0
McPherson Sq,721.00,"1,081.00","2,651.00",685.00,38.0,January,Winter,5176.0
Medical Center,273.00,429.00,"1,196.00",179.00,9.0,January,Winter,2086.0
Metro Center,592.00,"1,884.00","5,481.00","1,787.00",55.0,January,Winter,9799.0
Minnesota Ave,433.00,434.00,390.00,150.00,8.0,January,Winter,1415.0
Morgan Boulevard,369.00,179.00,143.00,140.00,5.0,January,Winter,836.0
Mt Vernon Sq,531.00,884.00,"1,295.00",655.00,29.0,January,Winter,3394.0
Navy Yard-Ballpark,"1,114.00","1,203.00","1,881.00",675.00,23.0,January,Winter,4896.0
Naylor Road,564.00,314.00,213.00,133.00,7.0,January,Winter,1231.0
New Carrollton,"1,177.00",643.00,421.00,169.00,8.0,January,Winter,2418.0
NoMa-Gallaudet U,"2,008.00","2,079.00","2,736.00",881.00,29.0,January,Winter,7733.0
North Bethesda,509.00,416.00,433.00,163.00,8.0,January,Winter,1529.0
Pentagon,"1,424.00","1,055.00","2,422.00",189.00,7.0,January,Winter,5097.0
Pentagon City,"1,495.00","1,679.00","1,850.00",703.00,10.0,January,Winter,5737.0
Potomac Ave,841.00,597.00,431.00,186.00,7.0,January,Winter,2062.0
Potomac Yard,383.00,297.00,307.00,85.00,5.0,January,Winter,1077.0
Reston Town Center,195.00,156.00,208.00,60.00,3.0,January,Winter,622.0
