Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),Time of Week,Total Daily Entries
Addison Road,678.00,358.00,199.00,107.00,9.0,Whole Week,1351.0
Anacostia,"1,129.00","1,063.00",988.00,314.00,15.0,Whole Week,3509.0
Archives,153.00,994.00,"2,721.00",697.00,14.0,Whole Week,4579.0
Arlington Cemetery,42.00,568.00,394.00,33.00,4.0,Whole Week,1041.0
Ashburn,619.00,361.00,210.00,68.00,2.0,Whole Week,1260.0
Ballston-MU,"1,600.00","1,348.00","1,625.00",616.00,22.0,Whole Week,5211.0
Benning Road,753.00,504.00,335.00,130.00,7.0,Whole Week,1729.0
Bethesda,"1,172.00","1,214.00","1,498.00",555.00,15.0,Whole Week,4454.0
Braddock Road,858.00,525.00,488.00,190.00,11.0,Whole Week,2072.0
Branch Ave,"1,270.00",518.00,321.00,126.00,7.0,Whole Week,2242.0
Brookland-CUA,"1,061.00","1,116.00","1,258.00",381.00,11.0,Whole Week,3827.0
Capitol Heights,586.00,321.00,214.00,86.00,7.0,Whole Week,1214.0
Capitol South,465.00,"1,022.00","2,245.00",446.00,7.0,Whole Week,4185.0
Cheverly,241.00,135.00,88.00,38.00,6.0,Whole Week,508.0
Clarendon,773.00,737.00,798.00,492.00,42.0,Whole Week,2842.0
Cleveland Park,659.00,713.00,614.00,286.00,11.0,Whole Week,2283.0
College Park-U of Md,625.00,634.00,621.00,229.00,7.0,Whole Week,2116.0
Columbia Heights,"1,713.00","2,240.00","2,715.00","1,060.00",28.0,Whole Week,7756.0
Congress Heights,567.00,426.00,362.00,145.00,7.0,Whole Week,1507.0
Court House,"1,205.00","1,006.00",948.00,402.00,16.0,Whole Week,3577.0
Crystal City,"1,244.00","1,375.00","1,612.00",486.00,17.0,Whole Week,4734.0
Deanwood,357.00,290.00,233.00,86.00,8.0,Whole Week,974.0
Downtown Largo,"1,051.00",427.00,307.00,145.00,9.0,Whole Week,1939.0
Dulles Airport,338.00,521.00,925.00,541.00,4.0,Whole Week,2329.0
Dunn Loring,670.00,401.00,384.00,126.00,4.0,Whole Week,1585.0
Dupont Circle,"1,473.00","2,607.00","3,796.00","2,017.00",82.0,Whole Week,9975.0
East Falls Church,"1,045.00",687.00,508.00,155.00,6.0,Whole Week,2401.0
Eastern Market,828.00,"1,191.00","1,103.00",595.00,19.0,Whole Week,3736.0
Eisenhower Ave,428.00,316.00,349.00,124.00,4.0,Whole Week,1221.0
Farragut North,452.00,"1,755.00","5,036.00","1,514.00",55.0,Whole Week,8812.0
Farragut West,577.00,"1,652.00","4,577.00","1,200.00",34.0,Whole Week,8040.0
Federal Center SW,164.00,528.00,"1,290.00",167.00,7.0,Whole Week,2156.0
Federal Triangle,80.00,803.00,"2,247.00",355.00,11.0,Whole Week,3496.0
Foggy Bottom-GWU,"1,241.00","2,906.00","5,628.00","2,427.00",42.0,Whole Week,12244.0
Forest Glen,427.00,222.00,154.00,51.00,9.0,Whole Week,863.0
Fort Totten,"2,646.00","1,829.00","1,558.00",532.00,24.0,Whole Week,6589.0
