Date,Month,Season,Date_ID
2024-01-01,January,Winter,1
2024-01-02,January,Winter,2
2024-01-03,January,Winter,3
2024-01-04,January,Winter,4
2024-01-05,January,Winter,5
2024-01-06,January,Winter,6
2024-01-07,January,Winter,7
2024-01-08,January,Winter,8
2024-01-09,January,Winter,9
2024-01-10,January,Winter,10
2024-01-11,January,Winter,11
2024-01-12,January,Winter,12
2024-01-13,January,Winter,13
2024-01-14,January,Winter,14
2024-01-15,January,Winter,15
2024-01-16,January,Winter,16
2024-01-17,January,Winter,17
2024-01-18,January,Winter,18
2024-01-19,January,Winter,19
2024-01-20,January,Winter,20
2024-01-21,January,Winter,21
2024-01-22,January,Winter,22
2024-01-23,January,Winter,23
2024-01-24,January,Winter,24
2024-01-25,January,Winter,25
2024-01-26,January,Winter,26
2024-01-27,January,Winter,27
2024-01-28,January,Winter,28
2024-01-29,January,Winter,29
2024-01-30,January,Winter,30
2024-01-31,January,Winter,31
2024-02-01,February,Winter,32
2024-02-02,February,Winter,33
2024-02-03,February,Winter,34
2024-02-04,February,Winter,35
2024-02-05,February,Winter,36
2024-02-06,February,Winter,37
2024-02-07,February,Winter,38
2024-02-08,February,Winter,39
2024-02-09,February,Winter,40
2024-02-10,February,Winter,41
2024-02-11,February,Winter,42
2024-02-12,February,Winter,43
2024-02-13,February,Winter,44
2024-02-14,February,Winter,45
2024-02-15,February,Winter,46
2024-02-16,February,Winter,47
2024-02-17,February,Winter,48
2024-02-18,February,Winter,49
2024-02-19,February,Winter,50
2024-02-20,February,Winter,51
2024-02-21,February,Winter,52
2024-02-22,February,Winter,53
2024-02-23,February,Winter,54
2024-02-24,February,Winter,55
2024-02-25,February,Winter,56
2024-02-26,February,Winter,57
2024-02-27,February,Winter,58
2024-02-28,February,Winter,59
2024-02-29,February,Winter,60
2024-03-01,March,Spring,61
2024-03-02,March,Spring,62
2024-03-03,March,Spring,63
2024-03-04,March,Spring,64
2024-03-05,March,Spring,65
2024-03-06,March,Spring,66
2024-03-07,March,Spring,67
2024-03-08,March,Spring,68
2024-03-09,March,Spring,69
2024-03-10,March,Spring,70
2024-03-11,March,Spring,71
2024-03-12,March,Spring,72
2024-03-13,March,Spring,73
2024-03-14,March,Spring,74
2024-03-15,March,Spring,75
2024-03-16,March,Spring,76
2024-03-17,March,Spring,77
2024-03-18,March,Spring,78
2024-03-19,March,Spring,79
2024-03-20,March,Spring,80
2024-03-21,March,Spring,81
2024-03-22,March,Spring,82
2024-03-23,March,Spring,83
2024-03-24,March,Spring,84
2024-03-25,March,Spring,85
2024-03-26,March,Spring,86
2024-03-27,March,Spring,87
2024-03-28,March,Spring,88
2024-03-29,March,Spring,89
2024-03-30,March,Spring,90
2024-03-31,March,Spring,91
2024-04-01,April,Spring,92
2024-04-02,April,Spring,93
2024-04-03,April,Spring,94
2024-04-04,April,Spring,95
2024-04-05,April,Spring,96
2024-04-06,April,Spring,97
2024-04-07,April,Spring,98
2024-04-08,April,Spring,99
2024-04-09,April,Spring,100
2024-04-10,April,Spring,101
2024-04-11,April,Spring,102
2024-04-12,April,Spring,103
2024-04-13,April,Spring,104
2024-04-14,April,Spring,105
2024-04-15,April,Spring,106
2024-04-16,April,Spring,107
2024-04-17,April,Spring,108
2024-04-18,April,Spring,109
2024-04-19,April,Spring,110
2024-04-20,April,Spring,111
2024-04-21,April,Spring,112
2024-04-22,April,Spring,113
2024-04-23,April,Spring,114
2024-04-24,April,Spring,115
2024-04-25,April,Spring,116
2024-04-26,April,Spring,117
2024-04-27,April,Spring,118
2024-04-28,April,Spring,119
2024-04-29,April,Spring,120
2024-04-30,April,Spring,121
2024-05-01,May,Spring,122
2024-05-02,May,Spring,123
2024-05-03,May,Spring,124
2024-05-04,May,Spring,125
2024-05-05,May,Spring,126
2024-05-06,May,Spring,127
2024-05-07,May,Spring,128
2024-05-08,May,Spring,129
2024-05-09,May,Spring,130
2024-05-10,May,Spring,131
2024-05-11,May,Spring,132
2024-05-12,May,Spring,133
2024-05-13,May,Spring,134
2024-05-14,May,Spring,135
2024-05-15,May,Spring,136
2024-05-16,May,Spring,137
2024-05-17,May,Spring,138
2024-05-18,May,Spring,139
2024-05-19,May,Spring,140
2024-05-20,May,Spring,141
2024-05-21,May,Spring,142
2024-05-22,May,Spring,143
2024-05-23,May,Spring,144
2024-05-24,May,Spring,145
2024-05-25,May,Spring,146
2024-05-26,May,Spring,147
2024-05-27,May,Spring,148
2024-05-28,May,Spring,149
2024-05-29,May,Spring,150
2024-05-30,May,Spring,151
2024-05-31,May,Spring,152
2024-06-01,June,Summer,153
2024-06-02,June,Summer,154
2024-06-03,June,Summer,155
2024-06-04,June,Summer,156
2024-06-05,June,Summer,157
2024-06-06,June,Summer,158
2024-06-07,June,Summer,159
2024-06-08,June,Summer,160
2024-06-09,June,Summer,161
2024-06-10,June,Summer,162
2024-06-11,June,Summer,163
2024-06-12,June,Summer,164
2024-06-13,June,Summer,165
2024-06-14,June,Summer,166
2024-06-15,June,Summer,167
2024-06-16,June,Summer,168
2024-06-17,June,Summer,169
2024-06-18,June,Summer,170
2024-06-19,June,Summer,171
2024-06-20,June,Summer,172
2024-06-21,June,Summer,173
2024-06-22,June,Summer,174
2024-06-23,June,Summer,175
2024-06-24,June,Summer,176
2024-06-25,June,Summer,177
2024-06-26,June,Summer,178
2024-06-27,June,Summer,179
2024-06-28,June,Summer,180
2024-06-29,June,Summer,181
2024-06-30,June,Summer,182
2024-07-01,July,Summer,183
2024-07-02,July,Summer,184
2024-07-03,July,Summer,185
2024-07-04,July,Summer,186
2024-07-05,July,Summer,187
2024-07-06,July,Summer,188
2024-07-07,July,Summer,189
2024-07-08,July,Summer,190
2024-07-09,July,Summer,191
2024-07-10,July,Summer,192
2024-07-11,July,Summer,193
2024-07-12,July,Summer,194
2024-07-13,July,Summer,195
2024-07-14,July,Summer,196
2024-07-15,July,Summer,197
2024-07-16,July,Summer,198
2024-07-17,July,Summer,199
2024-07-18,July,Summer,200
2024-07-19,July,Summer,201
2024-07-20,July,Summer,202
2024-07-21,July,Summer,203
2024-07-22,July,Summer,204
2024-07-23,July,Summer,205
2024-07-24,July,Summer,206
2024-07-25,July,Summer,207
2024-07-26,July,Summer,208
2024-07-27,July,Summer,209
2024-07-28,July,Summer,210
2024-07-29,July,Summer,211
2024-07-30,July,Summer,212
2024-07-31,July,Summer,213
2024-08-01,August,Summer,214
2024-08-02,August,Summer,215
2024-08-03,August,Summer,216
2024-08-04,August,Summer,217
2024-08-05,August,Summer,218
2024-08-06,August,Summer,219
2024-08-07,August,Summer,220
2024-08-08,August,Summer,221
2024-08-09,August,Summer,222
2024-08-10,August,Summer,223
2024-08-11,August,Summer,224
2024-08-12,August,Summer,225
2024-08-13,August,Summer,226
2024-08-14,August,Summer,227
2024-08-15,August,Summer,228
2024-08-16,August,Summer,229
2024-08-17,August,Summer,230
2024-08-18,August,Summer,231
2024-08-19,August,Summer,232
2024-08-20,August,Summer,233
2024-08-21,August,Summer,234
2024-08-22,August,Summer,235
2024-08-23,August,Summer,236
2024-08-24,August,Summer,237
2024-08-25,August,Summer,238
2024-08-26,August,Summer,239
2024-08-27,August,Summer,240
2024-08-28,August,Summer,241
2024-08-29,August,Summer,242
2024-08-30,August,Summer,243
2024-08-31,August,Summer,244
2024-09-01,September,Fall,245
2024-09-02,September,Fall,246
2024-09-03,September,Fall,247
2024-09-04,September,Fall,248
2024-09-05,September,Fall,249
2024-09-06,September,Fall,250
2024-09-07,September,Fall,251
2024-09-08,September,Fall,252
2024-09-09,September,Fall,253
2024-09-10,September,Fall,254
2024-09-11,September,Fall,255
2024-09-12,September,Fall,256
2024-09-13,September,Fall,257
2024-09-14,September,Fall,258
2024-09-15,September,Fall,259
2024-09-16,September,Fall,260
2024-09-17,September,Fall,261
2024-09-18,September,Fall,262
2024-09-19,September,Fall,263
2024-09-20,September,Fall,264
2024-09-21,September,Fall,265
2024-09-22,September,Fall,266
2024-09-23,September,Fall,267
2024-09-24,September,Fall,268
2024-09-25,September,Fall,269
2024-09-26,September,Fall,270
2024-09-27,September,Fall,271
2024-09-28,September,Fall,272
2024-09-29,September,Fall,273
2024-09-30,September,Fall,274
2024-10-01,October,Fall,275
2024-10-02,October,Fall,276
2024-10-03,October,Fall,277
2024-10-04,October,Fall,278
2024-10-05,October,Fall,279
2024-10-06,October,Fall,280
2024-10-07,October,Fall,281
2024-10-08,October,Fall,282
2024-10-09,October,Fall,283
2024-10-10,October,Fall,284
2024-10-11,October,Fall,285
2024-10-12,October,Fall,286
2024-10-13,October,Fall,287
2024-10-14,October,Fall,288
2024-10-15,October,Fall,289
2024-10-16,October,Fall,290
2024-10-17,October,Fall,291
2024-10-18,October,Fall,292
2024-10-19,October,Fall,293
2024-10-20,October,Fall,294
2024-10-21,October,Fall,295
2024-10-22,October,Fall,296
2024-10-23,October,Fall,297
2024-10-24,October,Fall,298
2024-10-25,October,Fall,299
2024-10-26,October,Fall,300
2024-10-27,October,Fall,301
2024-10-28,October,Fall,302
2024-10-29,October,Fall,303
2024-10-30,October,Fall,304
2024-10-31,October,Fall,305
2024-11-01,November,Fall,306
2024-11-02,November,Fall,307
2024-11-03,November,Fall,308
2024-11-04,November,Fall,309
2024-11-05,November,Fall,310
2024-11-06,November,Fall,311
2024-11-07,November,Fall,312
2024-11-08,November,Fall,313
2024-11-09,November,Fall,314
2024-11-10,November,Fall,315
2024-11-11,November,Fall,316
2024-11-12,November,Fall,317
2024-11-13,November,Fall,318
2024-11-14,November,Fall,319
2024-11-15,November,Fall,320
2024-11-16,November,Fall,321
2024-11-17,November,Fall,322
2024-11-18,November,Fall,323
2024-11-19,November,Fall,324
2024-11-20,November,Fall,325
2024-11-21,November,Fall,326
2024-11-22,November,Fall,327
2024-11-23,November,Fall,328
2024-11-24,November,Fall,329
2024-11-25,November,Fall,330
2024-11-26,November,Fall,331
2024-11-27,November,Fall,332
2024-11-28,November,Fall,333
2024-11-29,November,Fall,334
2024-11-30,November,Fall,335
2024-12-01,December,Winter,336
2024-12-02,December,Winter,337
2024-12-03,December,Winter,338
2024-12-04,December,Winter,339
2024-12-05,December,Winter,340
2024-12-06,December,Winter,341
2024-12-07,December,Winter,342
2024-12-08,December,Winter,343
2024-12-09,December,Winter,344
2024-12-10,December,Winter,345
2024-12-11,December,Winter,346
2024-12-12,December,Winter,347
2024-12-13,December,Winter,348
2024-12-14,December,Winter,349
2024-12-15,December,Winter,350
2024-12-16,December,Winter,351
2024-12-17,December,Winter,352
2024-12-18,December,Winter,353
2024-12-19,December,Winter,354
2024-12-20,December,Winter,355
2024-12-21,December,Winter,356
2024-12-22,December,Winter,357
2024-12-23,December,Winter,358
2024-12-24,December,Winter,359
2024-12-25,December,Winter,360
2024-12-26,December,Winter,361
2024-12-27,December,Winter,362
2024-12-28,December,Winter,363
2024-12-29,December,Winter,364
2024-12-30,December,Winter,365
2024-12-31,December,Winter,366
