Station Name,NAME,ADDRESS,STATION_TYPE,NUMBER_OF_LINES,X,Y,Station_ID
Addison Road,Addison Road,"100 ADDISON ROAD S., CAPITOL HEIGHTS, MD",['Residential'],2,-8559813.18734407,4705463.24166375,1
Anacostia,Anacostia,"1101 HOWARD ROAD SE, WASHINGTON, DC",['Residential'],1,-8571085.71722663,4702062.29300998,2
Archives,Archives,"300 7TH STREET NW, WASHINGTON, DC","['Tourist', 'Jobs']",2,-8574040.54387247,4706452.56707492,3
Arlington Cemetery,Arlington Cemetery,"1000 NORTH MEMORIAL DRIVE, ARLINGTON, VA","['Tourist', 'Jobs']",1,-8578593.03830832,4705168.5015578,4
Ashburn,Ashburn,"43625-A CROSON LN, ASHBURN, VA 20147",['Residential'],1,-8626318.71105577,4722429.46159221,5
Ballston-MU,Ballston-MU,"4230 FAIRFAX DRIVE, ARLINGTON, VA","['Residential', 'Jobs']",2,-8584198.94553565,4704810.4160427,6
Benning Road,Benning Road,"4500 CENTRAL AVENUE NE, WASHINGTON, DC",['Residential'],2,-8564739.85094908,4706067.89753531,7
Bethesda,Bethesda,"7450 WISCONSIN AVENUE, BETHESDA, MD","['Jobs', 'Residential']",1,-8582079.46222834,4719437.46196143,8
Braddock Road,Braddock Road,"700 N. WEST ST., ALEXANDRIA, VA","['Residential', 'Jobs']",2,-8577575.29293773,4695085.21528344,9
Branch Ave,Branch Ave,"4704 OLD SOPER ROAD, SUITLAND, MD","['Residential', 'Events']",1,-8561745.28287788,4696843.01421332,10
Brookland-CUA,Brookland-CUA,"890 MONROE STREET NE, WASHINGTON, DC","['University', 'Residential']",1,-8570992.60407922,4712110.24594685,11
Capitol Heights,Capitol Heights,"133 CENTRAL AVENUE, CAPITOL HEIGHTS, MD",['Residential'],2,-8561783.56572979,4705851.96360993,12
Capitol South,Capitol South,"355 1ST STREET SE, WASHINGTON, DC",['Jobs'],3,-8572173.16232883,4705222.22213222,13
Cheverly,Cheverly,"5501 COLUMBIA PARK, CHEVERLY, MD 
",['Residential'],1,-8562320.11818185,4709737.94177745,14
Clarendon,Clarendon,"3100 WILSON BLVD, ARLINGTON, VA","['Residential', 'Jobs']",2,-8582220.27031219,4705457.09422419,15
Cleveland Park,Cleveland Park,"3514 CONNECTICUT AVENUE NW, WASHINGTON, DC",['Residential'],1,-8578062.3105654,4712332.33489848,16
College Park-U of Md,College Park-U of Md,"4931 CALVERT ROAD, COLLEGE PARK, MD",['University'],1,-8563599.95226489,4718612.60370019,17
Columbia Heights,Columbia Heights,"3030 14TH STREET NW, WASHINGTON, DC","['Residential', 'University']",1,-8575224.73112821,4711341.360365,18
Congress Heights,Congress Heights,"1300 ALABAMA AVENUE SE, WASHINGTON, DC",['Residential'],1,-8570322.19806411,4699588.52589848,19
Court House,Court House,"2100 WILSON BLVD, ARLINGTON, VA","['Residential', 'Jobs']",2,-8581300.45186869,4705953.45960563,20
Crystal City,Crystal City,"1750 SOUTH CLARK ST., ARLINGTON, VA",['Jobs'],2,-8577199.28210905,4701339.08772698,21
Deanwood,Deanwood,"4720 MINNESOTA AVENUE NE, WASHINGTON, DC",['Residential'],1,-8564393.8605099,4708528.56608581,22
Downtown Largo,Downtown Largo,"9000 LOTTSFORD ROAD, LARGO, MD",['Residential'],2,-8554296.60714316,4707444.4354852,23
Dulles Airport,Dulles Airport,"44920 SAARINEN CIR, DULLES, VA 20166","['Jobs', 'Events']",1,-8621488.66885484,4715341.10170491,24
Dunn Loring,Dunn Loring,"2700 GALLOWS ROAD, VIENNA, VA",['Residential'],1,-8596888.46274931,4705016.66626744,25
Dupont Circle,Dupont Circle,"1525 20TH STREET NW, WASHINGTON, DC",['Jobs'],1,-8576433.91063075,4708731.64426284,26
East Falls Church,East Falls Church,"2001 N. SYCAMORE ST., ARLINGTON, VA","['Residential', 'Jobs']",2,-8589065.18788302,4705349.59568764,27
Eastern Market,Eastern Market,"725 PENNSYLVANIA AVENUE SE, WASHINGTON, DC","['Residential', 'Tourist']",3,-8571155.8918621,4705159.26388851,28
Eisenhower Ave,Eisenhower Ave,"2400 EISENHOWER AVENUE, ALEXANDRIA, VA","['Residential', 'Jobs']",1,-8579490.74735296,4693125.52416982,29
Farragut North,Farragut North,"1720 L STREET NW, WASHINGTON, DC",['Jobs'],1,-8576020.52191385,4707816.66512468,30
Farragut West,Farragut West,"841 17TH STREET NW, WASHINGTON, DC",['Jobs'],3,-8576131.23895494,4707546.44742689,31
Federal Center SW,Federal Center SW,"401 3RD STREET SW, WASHINGTON, DC",['Jobs'],3,-8573367.48692163,4705223.63132168,32
Federal Triangle,Federal Triangle,"350 12TH STREET NW, WASHINGTON, DC",['Jobs'],3,-8574732.68530906,4706383.29202841,33
Foggy Bottom-GWU,Foggy Bottom-GWU,"890 23RD STREET NW, WASHINGTON, DC","['University', 'Jobs']",3,-8577197.93870072,4707458.49328263,34
Forest Glen,Forest Glen,"9730 GEORGIA AVENUE, FOREST GLEN, MD",['Residential'],1,-8576378.49595161,4723814.9894091,35
Fort Totten,Fort Totten,"201 GALLOWAY STREET NE, WASHINGTON, DC",['Residential'],2,-8571846.29045981,4714777.49664398,36
Franconia-Springfield,Franconia-Springfield,"6880 FRONTIER DRIVE, SPRINGFIELD, VA",['Residential'],1,-8590299.40450979,4688283.91029613,37
Friendship Heights,Friendship Heights,"5337 WISCONSIN AVENUE NW, WASHINGTON, DC",['Residential'],1,-8581062.73773061,4715870.76174934,38
Gallery Place,Gallery Place,"625 9TH STREET NW, WASHINGTON, DC","['Jobs', 'Tourist']",3,-8574040.65549347,4707117.89017593,39
Georgia Ave-Petworth,Georgia Ave-Petworth,"3750 GEORGIA AVENUE NW, WASHINGTON, DC",['Residential'],1,-8574212.70160628,4712714.69385198,40
Glenmont,Glenmont,"12501 GEORGIA AVENUE, SILVER SPRING, MD",['Residential'],1,-8577563.02557608,4730526.55562299,41
Greenbelt,Greenbelt,"5717 GREENBELT METRO DRIVE, GREENBELT, MD",['Residential'],1,-8561700.01664412,4723269.36655638,42
Greensboro,Greensboro,"8305 LEESBURG PIKE VIENNA, VA 22182",['Residential'],1,-8597636.21580238,4710356.54115722,43
Grosvenor-Strathmore,Grosvenor-Strathmore,"10300 ROCKVILLE PIKE, BETHESDA, MD",['Residential'],1,-8583161.54707628,4725866.08521104,44
Herndon,Herndon,"585-A HERNDON PKY, HERNDON, VA 20170",['Residential'],1,-8614478.87811793,4714916.95098346,45
Huntington,Huntington,"2701 HUNTINGTON AVENUE, ALEXANDRIA, VA",['Residential'],1,-8579972.91668295,4692195.73952161,46
Hyattsville Crossing,Hyattsville Crossing,"3575 EAST WEST HIGHWAY, HYATTSVILLE, MD",['Residential'],1,-8566689.79547957,4716715.66388193,47
Innovation Center,Innovation Center,"13747-A SUNRISE VALLEY DR, HERNDON, VA 20171",['Residential'],1,-8617831.48809987,4716053.1644627,48
Judiciary Square,Judiciary Square,"435 4TH STREET NW, WASHINGTON, DC",['Jobs'],1,-8573453.28537188,4706799.42638213,49
King St-Old Town,King St-Old Town,"1900 KING STREET, ALEXANDRIA, VA","['Residential', 'Jobs']",2,-8578370.51888717,4694005.54850139,50
L'Enfant Plaza,L'Enfant Plaza,"600 MARYLAND AVENUE SW, WASHINGTON, DC","['Jobs', 'Tourist']",5,-8574039.88659281,4705190.07743124,51
