X,Y,NAME,ADDRESS,LINE,STATION_TYPE,NUMBER_OF_LINES
-8561745.28287788,4696843.01421332,Branch Ave,"4704 OLD SOPER ROAD, SUITLAND, MD",green,"['Residential', 'Events']",1
-8577575.29293773,4695085.21528344,Braddock Road,"700 N. WEST ST., ALEXANDRIA, VA","blue, yellow","['Residential', 'Jobs']",2
-8578370.51888717,4694005.54850139,King St-Old Town,"1900 KING STREET, ALEXANDRIA, VA","blue, yellow","['Residential', 'Jobs']",2
-8579490.74735296,4693125.52416982,Eisenhower Ave,"2400 EISENHOWER AVENUE, ALEXANDRIA, VA",yellow,"['Residential', 'Jobs']",1
-8579972.91668295,4692195.73952161,Huntington,"2701 HUNTINGTON AVENUE, ALEXANDRIA, VA",yellow,['Residential'],1
-8571085.71722663,4702062.29300998,Anacostia,"1101 HOWARD ROAD SE, WASHINGTON, DC",green,['Residential'],1
-8571155.8918621,4705159.26388851,Eastern Market,"725 PENNSYLVANIA AVENUE SE, WASHINGTON, DC","blue, orange, silver","['Residential', 'Tourist']",3
-8569986.3903827,4704678.91139804,Potomac Ave,"1400 POTOMAC AVENUE SE, WASHINGTON, DC","blue, orange, silver",['Residential'],3
-8569050.59193331,4705457.70276832,Stadium-Armory,"290 19TH STREET SE, WASHINGTON, DC","blue, orange, silver",['Events'],3
-8571148.74427675,4710371.46485085,Rhode Island Ave,"801 RHODE ISLAND AVENUE NE, WASHINGTON, DC",red,['Residential'],1
-8565673.027616,4707242.96403767,Minnesota Ave,"4120 MINNESOTA AVENUE NE, WASHINGTON, DC",orange,['Residential'],1
-8578612.63666281,4713549.18258664,Van Ness-UDC,"4230 CONNECTICUT AVENUE NW, WASHINGTON, DC",red,['University'],1
-8578062.3105654,4712332.33489848,Cleveland Park,"3514 CONNECTICUT AVENUE NW, WASHINGTON, DC",red,['Residential'],1
-8575224.73112821,4711341.360365,Columbia Heights,"3030 14TH STREET NW, WASHINGTON, DC",green,"['Residential', 'University']",1
-8598491.16643054,4711500.75129897,Spring Hill,"1576 SPRING HILL ROAD VIENNA, VA 22182",silver,['Residential'],1
-8597636.21580238,4710356.54115722,Greensboro,"8305 LEESBURG PIKE VIENNA, VA 22182",silver,['Residential'],1
-8596282.32962069,4710316.31738686,Tysons,"1943 CHAIN BRIDGE ROAD MCLEAN, VA 22102",silver,['Jobs'],1
-8594986.93366688,4710866.83672888,McLean,"1824 DOLLEY MADISON BOULIVARD MCLEAN, VA 22102",silver,['Residential'],1
